"","ID","decision","HI","SI","id"
"1","559cdad9fdf99b66f54b7794",0.5,0,1,1
"2","559cdad9fdf99b66f54b7794",0,1,1,1
"3","559cdad9fdf99b66f54b7794",0,1,1,1
"4","559cdad9fdf99b66f54b7794",0,1,1,1
"5","559cdad9fdf99b66f54b7794",0,1,1,1
"6","559cdad9fdf99b66f54b7794",0,1,1,1
"7","559cdad9fdf99b66f54b7794",0,1,1,1
"8","559cdad9fdf99b66f54b7794",0,1,1,1
"9","559cdad9fdf99b66f54b7794",0,1,1,1
"10","559cdad9fdf99b66f54b7794",0.5,0.75,0.6,1
"11","559cdad9fdf99b66f54b7794",0.5,0.26,0.6,1
"12","559cdad9fdf99b66f54b7794",0,1,1,1
"13","559cdad9fdf99b66f54b7794",0.5,0.25,0.65,1
"14","559cdad9fdf99b66f54b7794",0.5,0.25,0.65,1
"15","559cdad9fdf99b66f54b7794",0.5,0.25,0.8,1
"16","559cdad9fdf99b66f54b7794",0.5,0.25,0.8,1
"17","559cdad9fdf99b66f54b7794",0,1,1,1
"18","559cdad9fdf99b66f54b7794",0.5,0.25,0.85,1
"19","559cdad9fdf99b66f54b7794",0.5,0.25,0.85,1
"20","559cdad9fdf99b66f54b7794",0.5,0.25,0.9,1
"21","59e5fd82e75b450001a691ec",0,0.06,0.77,2
"22","59e5fd82e75b450001a691ec",0,0.14,0.86,2
"23","59e5fd82e75b450001a691ec",0.5,0,0.71,2
"24","59e5fd82e75b450001a691ec",0.5,0,0.7,2
"25","59e5fd82e75b450001a691ec",0.5,0,0.6,2
"26","59e5fd82e75b450001a691ec",0.5,0,0.62,2
"27","59e5fd82e75b450001a691ec",0.5,0,0.56,2
"28","59e5fd82e75b450001a691ec",0.5,0,0.61,2
"29","59e5fd82e75b450001a691ec",0.5,0,0.6,2
"30","59e5fd82e75b450001a691ec",0.5,0,0.61,2
"31","59e5fd82e75b450001a691ec",0,0.14,0.75,2
"32","59e5fd82e75b450001a691ec",0,0.14,0.82,2
"33","59e5fd82e75b450001a691ec",0.5,0,0.71,2
"34","59e5fd82e75b450001a691ec",0,0,0.78,2
"35","59e5fd82e75b450001a691ec",0,0.01,0.86,2
"36","59e5fd82e75b450001a691ec",0,0.01,0.86,2
"37","59e5fd82e75b450001a691ec",0.5,0,0.72,2
"38","59e5fd82e75b450001a691ec",0,0.06,0.85,2
"39","59e5fd82e75b450001a691ec",0,0.07,0.83,2
"40","59e5fd82e75b450001a691ec",0,0.05,0.88,2
"41","5a8b513317ef35000170b86f",0,0.98,0.97,3
"42","5a8b513317ef35000170b86f",0,0.94,0.96,3
"43","5a8b513317ef35000170b86f",0,0.96,0.96,3
"44","5a8b513317ef35000170b86f",0,0.96,0.94,3
"45","5a8b513317ef35000170b86f",0.5,0.95,0.93,3
"46","5a8b513317ef35000170b86f",0,0.89,0.9,3
"47","5a8b513317ef35000170b86f",0.5,0.96,0.97,3
"48","5a8b513317ef35000170b86f",0,1,1,3
"49","5a8b513317ef35000170b86f",0,1,1,3
"50","5a8b513317ef35000170b86f",0,1,1,3
"51","5a8b513317ef35000170b86f",0.5,1,1,3
"52","5a8b513317ef35000170b86f",0.5,1,1,3
"53","5a8b513317ef35000170b86f",0.5,1,1,3
"54","5a8b513317ef35000170b86f",0.5,1,1,3
"55","5a8b513317ef35000170b86f",0,1,1,3
"56","5a8b513317ef35000170b86f",0.5,1,1,3
"57","5a8b513317ef35000170b86f",0,1,1,3
"58","5a8b513317ef35000170b86f",0.5,0.61,0.58,3
"59","5a8b513317ef35000170b86f",0.5,0.54,0.52,3
"60","5a8b513317ef35000170b86f",0.5,0.52,0.51,3
"61","5a90460d1eda41000135f918",0.5,0.53,0.35,4
"62","5a90460d1eda41000135f918",0.5,0.47,0.21,4
"63","5a90460d1eda41000135f918",0,0.46,0.61,4
"64","5a90460d1eda41000135f918",0,0.37,0.77,4
"65","5a90460d1eda41000135f918",0,0.4,0.76,4
"66","5a90460d1eda41000135f918",0,0.45,0.73,4
"67","5a90460d1eda41000135f918",0,0.2,0.79,4
"68","5a90460d1eda41000135f918",0,0.18,0.8,4
