"","ID","decision","HI","SI","id"
"1","54b60d74fdf99b1ce0367ab5",0,0.28,0.78,1
"2","54b60d74fdf99b1ce0367ab5",0.5,0.31,0.73,1
"3","54b60d74fdf99b1ce0367ab5",0.5,0.39,0.74,1
"4","54b60d74fdf99b1ce0367ab5",0.5,0.54,0.52,1
"5","54b60d74fdf99b1ce0367ab5",0.5,0.53,0.49,1
"6","54b60d74fdf99b1ce0367ab5",0.5,0.49,0.52,1
"7","54b60d74fdf99b1ce0367ab5",0,0.41,0.64,1
"8","54b60d74fdf99b1ce0367ab5",0.5,0.49,0.55,1
"9","54b60d74fdf99b1ce0367ab5",0.5,0.48,0.48,1
"10","54b60d74fdf99b1ce0367ab5",0.5,0.45,0.49,1
"11","54b60d74fdf99b1ce0367ab5",0,0.35,0.67,1
"12","54b60d74fdf99b1ce0367ab5",0,0.38,0.68,1
"13","54b60d74fdf99b1ce0367ab5",0.5,0.46,0.56,1
"14","54b60d74fdf99b1ce0367ab5",0,0.41,0.68,1
"15","54b60d74fdf99b1ce0367ab5",0,0.32,0.69,1
"16","54b60d74fdf99b1ce0367ab5",0,0.4,0.79,1
"17","54b60d74fdf99b1ce0367ab5",0.5,0.53,0.58,1
"18","54b60d74fdf99b1ce0367ab5",0,0.39,0.74,1
"19","54b60d74fdf99b1ce0367ab5",0,0.31,0.71,1
"20","54b60d74fdf99b1ce0367ab5",0,0.47,0.71,1
"21","55780ee6fdf99b4cbc0aef95",0,0.5,1,2
"22","55780ee6fdf99b4cbc0aef95",0,0.5,1,2
"23","55780ee6fdf99b4cbc0aef95",0,0.5,1,2
"24","55780ee6fdf99b4cbc0aef95",0,0.36,0.99,2
"25","55780ee6fdf99b4cbc0aef95",0.5,0.11,1,2
"26","55780ee6fdf99b4cbc0aef95",0.5,0.18,0.85,2
"27","55780ee6fdf99b4cbc0aef95",0,0.1,1,2
"28","55780ee6fdf99b4cbc0aef95",0,0.4,1,2
"29","55780ee6fdf99b4cbc0aef95",0,0.4,1,2
"30","55780ee6fdf99b4cbc0aef95",0,0.4,1,2
"31","55780ee6fdf99b4cbc0aef95",0,0.4,1,2
"32","55780ee6fdf99b4cbc0aef95",0.5,0.2,1,2
"33","55780ee6fdf99b4cbc0aef95",0.5,0.2,1,2
"34","55780ee6fdf99b4cbc0aef95",0.5,0.1,1,2
"35","55780ee6fdf99b4cbc0aef95",0.5,0.1,1,2
"36","55780ee6fdf99b4cbc0aef95",0.5,0.1,1,2
"37","55780ee6fdf99b4cbc0aef95",0,0.29,1,2
"38","55780ee6fdf99b4cbc0aef95",0.5,0.11,1,2
"39","55780ee6fdf99b4cbc0aef95",0.5,0.16,1,2
"40","55780ee6fdf99b4cbc0aef95",0.5,0.11,1,2
"41","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"42","560aef7d01c38a00127693d3",0,0.5,0.5,3
"43","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"44","560aef7d01c38a00127693d3",0,0.5,0.5,3
"45","560aef7d01c38a00127693d3",0,0.5,0.5,3
"46","560aef7d01c38a00127693d3",0,0.5,0.5,3
"47","560aef7d01c38a00127693d3",0,0.5,0.5,3
"48","560aef7d01c38a00127693d3",0,0.5,0.5,3
"49","560aef7d01c38a00127693d3",0,0.5,0.5,3
"50","560aef7d01c38a00127693d3",0,0.5,0.5,3
"51","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"52","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"53","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"54","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"55","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"56","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"57","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"58","560aef7d01c38a00127693d3",0,0.5,0.5,3
"59","560aef7d01c38a00127693d3",0,0.5,0.5,3
"60","560aef7d01c38a00127693d3",0.5,0.5,0.5,3
"61","5687d434369319000c269c03",0,0.3,0.65,4
"62","5687d434369319000c269c03",0.5,0.3,0.3,4
"63","5687d434369319000c269c03",0,0.3,0.8,4
"64","5687d434369319000c269c03",0,0.3,0.8,4
"65","5687d434369319000c269c03",0.5,0.2,0.6,4
"66","5687d434369319000c269c03",0,0.3,0.8,4
"67","5687d434369319000c269c03",0,0.25,0.8,4
"68","5687d434369319000c269c03",0,0.25,0.8,4
"69","5687d434369319000c269c03",0,0.25,0.9,4
"70","5687d434369319000c269c03",0,0.4,0.9,4
"71","5687d434369319000c269c03",0.5,0.15,0.65,4
"72","5687d434369319000c269c03",0.5,0.25,0.6,4
"73","5687d434369319000c269c03",0.5,0.25,0.65,4
"74","5687d434369319000c269c03",0.5,0.2,0.6,4
"75","5687d434369319000c269c03",0,0.5,0.9,4
"76","5687d434369319000c269c03",0.5,0.3,0.6,4
"77","5687d434369319000c269c03",0.5,0.4,0.6,4
"78","5687d434369319000c269c03",0.5,0.4,0.6,4
"79","5687d434369319000c269c03",0.5,0.35,0.6,4
"80","5687d434369319000c269c03",0,0.5,0.9,4
"81","56f699e876348f000c883bba",0.5,0.5,0.51,5
"82","56f699e876348f000c883bba",0.5,0.52,0.51,5
"83","56f699e876348f000c883bba",0,0.4,0.96,5
"84","56f699e876348f000c883bba",0,0.48,1,5
"85","56f699e876348f000c883bba",0,0.44,0.98,5
"86","56f699e876348f000c883bba",0,0.4,0.97,5
"87","56f699e876348f000c883bba",0,0.41,0.99,5
"88","56f699e876348f000c883bba",0,0.38,0.97,5
"89","56f699e876348f000c883bba",0,0.35,0.97,5
"90","56f699e876348f000c883bba",0,0.37,0.98,5
"91","56f699e876348f000c883bba",0.5,0.5,0.51,5
"92","56f699e876348f000c883bba",0,0.34,0.96,5
"93","56f699e876348f000c883bba",0.5,0.5,0.56,5
"94","56f699e876348f000c883bba",0.5,0.5,0.5,5
"95","56f699e876348f000c883bba",0.5,0.52,0.51,5
"96","56f699e876348f000c883bba",0.5,0.53,0.51,5
"97","56f699e876348f000c883bba",0.5,0.53,0.48,5
