"","ID","decision","HI","SI","id"
"1","54240de1fdf99b691fb383a8",0.5,0.17,0.5,1
"2","54240de1fdf99b691fb383a8",0.5,0.26,0.5,1
"3","54240de1fdf99b691fb383a8",0.5,0.23,0.24,1
"4","54240de1fdf99b691fb383a8",0.5,0.27,0.5,1
"5","54240de1fdf99b691fb383a8",0,0.61,0.71,1
"6","54240de1fdf99b691fb383a8",0,0.7,0.69,1
"7","54240de1fdf99b691fb383a8",0.5,0.23,0.25,1
"8","54240de1fdf99b691fb383a8",0.5,0.22,0.43,1
"9","54240de1fdf99b691fb383a8",0.5,0.22,0.31,1
"10","54240de1fdf99b691fb383a8",0.5,0.25,0.28,1
"11","54240de1fdf99b691fb383a8",0,0.48,0.86,1
"12","54240de1fdf99b691fb383a8",0,0.41,0.78,1
"13","54240de1fdf99b691fb383a8",0,0.28,0.72,1
"14","54240de1fdf99b691fb383a8",0,0.29,0.73,1
"15","54240de1fdf99b691fb383a8",0,0.32,0.67,1
"16","54240de1fdf99b691fb383a8",0.5,0.26,0.33,1
"17","54240de1fdf99b691fb383a8",0,0.49,0.74,1
"18","54240de1fdf99b691fb383a8",0,0.47,0.74,1
"19","54240de1fdf99b691fb383a8",0,0.5,0.7,1
"20","54240de1fdf99b691fb383a8",0.5,0.28,0.31,1
"21","55a77810fdf99b444b9d255c",0,0.58,0.85,2
"22","55a77810fdf99b444b9d255c",0.5,0.5,0.5,2
"23","55a77810fdf99b444b9d255c",0.5,0.58,0.58,2
"24","55a77810fdf99b444b9d255c",0.5,0.56,0.59,2
"25","55a77810fdf99b444b9d255c",0.5,0.57,0.61,2
"26","55a77810fdf99b444b9d255c",0.5,0.54,0.57,2
"27","55a77810fdf99b444b9d255c",0.5,0.56,0.6,2
"28","55a77810fdf99b444b9d255c",0.5,0.55,0.54,2
"29","55a77810fdf99b444b9d255c",0,0.79,0.82,2
"30","55a77810fdf99b444b9d255c",0.5,0.56,0.59,2
"31","55a77810fdf99b444b9d255c",0.5,0.52,0.54,2
"32","55a77810fdf99b444b9d255c",0,0.7,0.68,2
"33","55a77810fdf99b444b9d255c",0,0.7,0.72,2
"34","55a77810fdf99b444b9d255c",0.5,0.52,0.47,2
"35","55a77810fdf99b444b9d255c",0,0.73,0.72,2
"36","55a77810fdf99b444b9d255c",0,0.76,0.75,2
"37","55a77810fdf99b444b9d255c",0,0.71,0.73,2
"38","55a77810fdf99b444b9d255c",0,0.72,0.77,2
"39","55a77810fdf99b444b9d255c",0,0.71,0.74,2
"40","55a77810fdf99b444b9d255c",0,0.71,0.75,2
"41","55b95e2ffdf99b469f622883",0,0.55,1,3
"42","55b95e2ffdf99b469f622883",0.5,0.45,0.44,3
"43","55b95e2ffdf99b469f622883",0,0.57,1,3
"44","55b95e2ffdf99b469f622883",0,0.62,1,3
"45","55b95e2ffdf99b469f622883",0,0.51,0.98,3
"46","55b95e2ffdf99b469f622883",0,0.48,0.98,3
"47","55b95e2ffdf99b469f622883",0,0.65,0.96,3
"48","55b95e2ffdf99b469f622883",0.5,0.64,0.86,3
"49","55b95e2ffdf99b469f622883",0,0.71,0.98,3
"50","55b95e2ffdf99b469f622883",0,0.51,1,3
"51","55b95e2ffdf99b469f622883",0,0.52,0.97,3
"52","55b95e2ffdf99b469f622883",0.5,0.62,0.83,3
"53","55b95e2ffdf99b469f622883",0.5,0.61,0.66,3
"54","55b95e2ffdf99b469f622883",0.5,0.39,0.66,3
"55","55b95e2ffdf99b469f622883",0.5,0.33,0.73,3
"56","55b95e2ffdf99b469f622883",0,0.67,0.98,3
"57","55b95e2ffdf99b469f622883",0.5,0.74,0.73,3
"58","55b95e2ffdf99b469f622883",0.5,0.71,0.67,3
"59","55b95e2ffdf99b469f622883",0.5,0.65,0.73,3
"60","55b95e2ffdf99b469f622883",0.5,0.64,0.69,3
"61","56051814e372c00011bd556a",0.5,0.23,0.7,4
"62","56051814e372c00011bd556a",0.5,0.18,0.69,4
"63","56051814e372c00011bd556a",0,0.66,0.94,4
"64","56051814e372c00011bd556a",0.5,0.24,0.76,4
"65","56051814e372c00011bd556a",0.5,0.22,0.72,4
"66","56051814e372c00011bd556a",0,0.77,0.89,4
"67","56051814e372c00011bd556a",0.5,0.28,0.67,4
"68","56051814e372c00011bd556a",0.5,0.25,0.81,4
