"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID","54240de1fdf99b691fb383a8","2.20071021028099","0.85","0.01","1e-06","0.999999","1e-06","-23.4031895710677","-16.4846154875619"
"ID1","54b60d74fdf99b1ce0367ab5","2.20071021028099","0.43","0.01","1e-06","0.999999","1e-06","-30.4268827999965","-25.1700847461908"
"ID2","55780ee6fdf99b4cbc0aef95","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-61.5117935375877","-54.6922740037392"
"ID3","559cdad9fdf99b66f54b7794","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-43.4768568481999","-37.9382076422533"
"ID4","55a77810fdf99b444b9d255c","0.106583155826692","0.01","0.01","1e-06","0.999999","1e-06","-18.8683453126353","-13.2573618549723"
"ID5","55b95e2ffdf99b469f622883","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-61.6722168663594","-56.4882438382417"
"ID6","55d6d91d69dbc30005b66ffe","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-62.0014100880247","-55.5962324772738"
"ID7","56051814e372c00011bd556a","1.03239118471","0.85","0.01","1e-06","0.999999","1e-06","-22.1294847308356","-15.7073879121299"
"ID8","560aef7d01c38a00127693d3","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-52.823970719851","-47.6399976917333"
"ID9","5687d434369319000c269c03","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-50.88937896425","-44.3517105825425"
"ID10","56c81007ba8e37000d7b211e","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-59.0059133579234","-52.4682449762159"
"ID11","56f699e876348f000c883bba","10","0.85","0.01","1e-06","0.999999","1e-06","-70.0771983820533","-58.1208436182486"
"ID12","571de7af13b1b70009be2f26","0.484312542963499","0.01","0.01","1e-06","0.999999","1e-06","-63.4462376157565","-57.8141025120267"
"ID13","5744bbe15e549100063b08cb","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-47.1489557689308","-38.9495113575231"
"ID14","57611238eaf3f80007481e8e","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-59.3454908402938","-52.8078224585863"
"ID15","5778eeb20e49300001ba9ec0","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-65.1548020507162","-58.7496244399653"
"ID16","577a6900f8f7ed00014b537b","0.227199382119539","0.01","0.01","1e-06","0.999999","1e-06","-25.5792979442677","-19.989270532554"
"ID17","5784d25070c76a00012427e0","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-42.4746735678861","-37.2907005397684"
"ID18","579fb6f46475d400015ab855","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-35.8124222435925","-30.6881149607434"
"ID19","57f8a3ece480f5000136f588","4.69117278543542","0.71","0.01","1e-06","0.999999","1e-06","-44.9212134822391","-37.6206518244334"
"ID20","5808ec7ff0740c0001789a1b","1.03239118471","0.15","0.01","1e-06","0.999999","1e-06","-37.0524146436989","-32.3649188803813"
"ID21","584726b8f063d30001161e6a","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-65.8510713453182","-59.4458937345673"
"ID22","58513454b9f14b000151795f","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-51.6617991271718","-46.5374918443227"
"ID23","5870336cdb3e720001e230cd","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-45.8968681040782","-40.7725608212292"
"ID24","587291591c35f20001955c45","4.69117278543542","0.15","0.01","1e-06","0.999999","1e-06","-70.9139762716287","-64.4491329156092"
"ID25","587388b9db3e720001e2320e","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-55.1382803396953","-48.3187608058468"
"ID26","587620554254cb0001c15a23","2.20071021028099","0.01","0.01","1e-06","0.999999","1e-06","-72.7996355506542","-66.4903403124518"
"ID27","5883d68d300c0b000113db56","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-47.8615599534195","-39.6621155420119"
"ID28","58c3c197da66280001b3c6e8","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-49.3493290866181","-42.5298095527696"
"ID29","58cef97d5e07b6000139fa16","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-71.3770975776502","-64.9719199668993"
"ID30","58f364d67b2e410001c2ed1d","0.484312542963499","0.29","0.01","1e-06","0.999999","1e-06","-10.9809473822143","-6.53380023383784"
"ID31","58f89d1cedf274000143eb4e","0.05","0.29","0.01","1e-06","0.999999","1e-06","-6.27045276872749","-1.79432952200113"
"ID32","58fa6e1bd0055c0001dd838a","1.03239118471","0.15","0.01","1e-06","0.999999","1e-06","-31.749058979295","-27.0615632159774"
"ID33","590f202eea0e130001039e1f","4.69117278543542","0.71","0.01","1e-06","0.999999","1e-06","-49.7340040638677","-42.433442406062"
"ID34","593ead9ea514380001e5cf86","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-34.3300564258019","-28.7914072198552"
"ID35","595339f4ad2ce90001b88266","2.20071021028099","0.43","0.01","1e-06","0.999999","1e-06","-32.6840337584078","-27.4272357046021"
"ID36","5953d37b3d663c00011d233c","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-71.1282408784561","-64.7230632677052"
"ID37","598ab1ed19432500016fafa1","2.20071021028099","0.01","0.01","1e-06","0.999999","1e-06","-73.3572133498024","-67.0479181116"
"ID38","5991c4a8e339120001fb8c7e","4.69117278543542","0.71","0.01","1e-06","0.999999","1e-06","-53.8970787860275","-46.5965171282218"
"ID39","5995ed90d1732a00013425c5","4.69117278543542","0.15","0.01","1e-06","0.999999","1e-06","-63.171401013666","-56.7065576576464"
"ID40","599614af004c4f0001cc8642","0.484312542963499","0.01","0.01","1e-06","0.999999","1e-06","-49.1415771115017","-43.5094420077719"
"ID41","59c80c180aaf750001213cbf","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-55.4921056505964","-48.6725861167479"
"ID42","59d38d62323bd80001e200bc","4.69117278543542","0.15","0.01","1e-06","0.999999","1e-06","-70.2722727814139","-63.8074294253943"
"ID43","59d4b084115096000190dbce","2.20071021028099","0.43","0.01","1e-06","0.999999","1e-06","-39.5295090778046","-34.2727110239989"
"ID44","59e5fd82e75b450001a691ec","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-28.0296466986474","-22.4909974927007"
"ID45","59e8cb08bab73300016bd7f7","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-52.6152531875221","-47.490945904673"
"ID46","59e9d2c6c0d35a0001295448","2.20071021028099","0.43","0.01","1e-06","0.999999","1e-06","-38.5410961105069","-33.2842980567013"
"ID47","5a3996f6ae52e600010a0192","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-61.6871367549427","-55.2819591441918"
"ID48","5a3a570307245d0001fc0692","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-55.7404426039583","-49.2027742222508"
"ID49","5a3c0b842f91ec0001dc9bb4","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-55.0898904825112","-49.9059174543935"
"ID50","5a4e26a8f4c9dc0001b7a1b5","4.69117278543542","0.71","0.01","1e-06","0.999999","1e-06","-51.5298590422559","-44.2292973844501"
"ID51","5a5a3ec6ac5624000153e0f7","10","0.85","0.01","1e-06","0.999999","1e-06","-65.9283787903945","-53.9720240265898"
"ID52","5a5d1194acc75b00017a7b8f","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-64.0920517306221","-57.5543833489146"
"ID53","5a69d77a56585a0001633482","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-60.6305054933533","-55.4465324652356"
"ID54","5a6f7604ff6f2300013edcd8","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-64.3469234418829","-57.941745831132"
"ID55","5a8b513317ef35000170b86f","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-52.2262539644382","-44.0268095530305"
"ID56","5a8c78b0ae9a0b0001aa27fd","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-63.0603309820018","-56.2408114481533"
"ID57","5a90460d1eda41000135f918","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-58.861228371918","-52.4560507611671"
"ID58","5a94a3344eecca0001dd3c52","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-19.0075263672821","-13.4688771613355"
"ID59","5a9d68a3dbdb470001eefb79","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-64.3316421160331","-57.7939737343256"
"ID60","5aa696af6219a30001c75d2a","2.20071021028099","0.71","0.01","1e-06","0.999999","1e-06","-29.9269880333708","-23.9072967034669"
"ID61","5aa9528235237b0001132675","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-70.9586067107739","-64.4209383290664"
"ID62","5ab3bc131204f90001c965bd","1.03239118471","0.71","0.01","1e-06","0.999999","1e-06","-18.2315305968533","-12.7083165317495"
"ID63","5ab4e55cf69e940001d8d3bf","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-47.6015936997764","-39.4021492883687"
"ID64","5ab5509cf69e940001d8d954","10","0.71","0.01","1e-06","0.999999","1e-06","-65.9500289901085","-54.8925569799057"
"ID65","5ac3b825e734400001da2436","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-36.2404917783101","-30.7018425723634"
"ID66","5ad3bfc75b53cb0001f35839","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-55.4307725462759","-48.8931041645684"
"ID67","5ad658e2a38d7b00013afe89","1.03239118471","0.01","0.01","1e-06","0.999999","1e-06","-71.9991923817102","-66.1863744083079"
"ID68","5adf629ddee8590001b05f7b","4.69117278543542","0.29","0.01","1e-06","0.999999","1e-06","-59.3159795007504","-52.9108018899995"
"ID69","5ae1a263066c510001d48146","1.03239118471","0.15","0.01","1e-06","0.999999","1e-06","-33.7471723211131","-29.0596765577955"
"ID70","5ae59bec7edeb000014a828c","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-19.3409767011596","-13.8023274952129"
"ID71","5ae9f13b9b283d00017ee04d","2.20071021028099","0.01","0.01","1e-06","0.999999","1e-06","-72.9590934453139","-66.6497982071115"
"ID72","5af344dfdf9933000161f47a","4.69117278543542","0.15","0.01","1e-06","0.999999","1e-06","-67.9615536565926","-61.4967103005731"
"ID73","5afc2d1f2406810001d625c0","1.03239118471","0.29","0.01","1e-06","0.999999","1e-06","-21.5652628642517","-16.9374328462027"
"ID74","5b1d5e16503f020001e684aa","2.20071021028099","0.15","0.01","1e-06","0.999999","1e-06","-51.4112475675101","-46.2272745393924"
"ID75","5b1ed2783522660001b464eb","4.69117278543542","0.15","0.01","1e-06","0.999999","1e-06","-69.6861017337356","-63.221258377716"
"ID76","5b1fe253b803da0001dfbc8d","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-23.0403821109716","-17.5017329050249"
"ID77","5b35bd1d532e3d00018e8b27","4.69117278543542","0.71","0.01","1e-06","0.999999","1e-06","-49.5969114188222","-42.2963497610165"
"ID78","5b491b4eac6f5a0001549493","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-49.0757377090253","-42.2562181751768"
"ID79","5b49d3a519f8e70001b7df02","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-51.8758629209331","-43.6764185095255"
"ID80","5b5d4bfc4e945800017db533","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-56.2653332036175","-49.445813669769"
"ID81","5b5dfd9c4e945800017dcd79","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-59.6140853794608","-53.0764169977533"
"ID82","5b630cec6abdd90001d98c3f","4.69117278543542","0.57","0.01","1e-06","0.999999","1e-06","-69.9448426697493","-63.1253231359008"
"ID83","5b707d214415ce0001b1fd78","2.20071021028099","0.57","0.01","1e-06","0.999999","1e-06","-33.3136444725948","-27.7749952666482"
"ID84","5b72d8042aeef10001972da0","1.03239118471","0.71","0.01","1e-06","0.999999","1e-06","-17.9931999742374","-12.4699859091336"
"ID85","5b8fe19ae3a406000131f1a6","1.03239118471","0.29","0.01","1e-06","0.999999","1e-06","-31.8419912693974","-27.2141612513484"
"ID86","5b97a1e083bd380001b92485","2.20071021028099","0.43","0.01","1e-06","0.999999","1e-06","-33.1228907913597","-27.8660927375541"
"ID87","5b9e1e607b196f000195b599","1.03239118471","0.29","0.01","1e-06","0.999999","1e-06","-21.8851439573648","-17.2573139393158"
"ID88","5bb756696322c5000159756c","4.69117278543542","0.43","0.01","1e-06","0.999999","1e-06","-63.6085098512933","-57.0708414695858"
"ID89","5bbe3c5cee6586000142be43","4.69117278543542","0.85","0.01","1e-06","0.999999","1e-06","-43.5936396089115","-35.3941951975039"
"ID90","5bc08c345e8a950001892156","0.227199382119539","0.15","0.01","1e-06","0.999999","1e-06","-9.98129451494423","-5.51658931331529"
