"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID","54240de1fdf99b691fb383a8","0.01","0.99","0.43","0.3","0.999999","0.0142865714285714","-22.6763630096649","-16.1121403005818"
"ID1","54b60d74fdf99b1ce0367ab5","0.01","0.99","0.57","0.3","0.999999","0.0857144285714286","-35.4576081057696","-28.8362861731232"
"ID2","55780ee6fdf99b4cbc0aef95","0.01","0.99","0.57","0.3","0.999999","0.1","-66.0117462278576","-59.3674227544689"
"ID3","559cdad9fdf99b66f54b7794","0.01","0.99","0.99","0.3","0.985713428571429","0.1","-40.2581190942303","-34.2481511382092"
"ID4","55a77810fdf99b444b9d255c","0.01","0.99","0.01","1e-06","0.999999","0.1","-60.0415921344941","-50.0126395553411"
"ID5","55b95e2ffdf99b469f622883","0.01","0.99","0.43","0.3","0.999999","0.1","-76.4947931119728","-69.8504696385841"
"ID6","55d6d91d69dbc30005b66ffe","0.01","0.99","0.43","0.3","0.999999","0.1","-76.7517174243064","-70.1073939509177"
"ID7","56051814e372c00011bd556a","0.01","0.99","0.43","0.3","0.999999","0.0142865714285714","-22.6684779123078","-16.1042552032247"
"ID8","560aef7d01c38a00127693d3","0.01","0.99","0.57","0.3","0.999999","0.1","-77.6826495301341","-71.0383260567455"
"ID9","5687d434369319000c269c03","0.01","0.99","0.43","0.3","0.999999","0.1","-48.2998493084826","-41.655525835094"
"ID10","56c81007ba8e37000d7b211e","0.01","0.99","0.57","1e-06","0.999999","0.1","-72.3918474005396","-62.683807974726"
"ID11","56f699e876348f000c883bba","0.01","0.99","0.43","0.3","0.999999","0.1","-59.202652752308","-52.5583292789194"
"ID12","571de7af13b1b70009be2f26","0.01","0.99","0.43","0.3","0.999999","0.1","-79.0915186573274","-72.4471951839388"
"ID13","5744bbe15e549100063b08cb","0.01","0.99","0.57","0.3","0.999999","0.1","-46.3375606039653","-39.6932371305766"
"ID14","57611238eaf3f80007481e8e","0.01","0.99","0.57","0.3","0.999999","0.1","-70.8455890220334","-64.2012655486448"
"ID15","5778eeb20e49300001ba9ec0","0.01","0.99","0.43","0.3","0.999999","0.1","-81.1661916507872","-74.5218681773985"
"ID16","577a6900f8f7ed00014b537b","0.01","0.99","0.01","1e-06","0.999999","0.1","-65.5915038958176","-55.5625513166645"
"ID17","5784d25070c76a00012427e0","0.01","0.99","0.43","0.3","0.999999","0.1","-48.0142739992531","-41.3699505258645"
"ID18","579fb6f46475d400015ab855","0.01","0.99","0.01","1e-06","0.999999","0.1","-53.5642905770468","-43.5353379978937"
"ID19","57f8a3ece480f5000136f588","0.01","0.99","0.43","0.3","0.999999","0.1","-45.399709417163","-38.7553859437743"
"ID20","5808ec7ff0740c0001789a1b","0.01","0.99","0.57","0.3","0.999999","0.1","-50.4386684954728","-43.7943450220841"
"ID21","584726b8f063d30001161e6a","0.01","0.99","0.43","0.3","0.999999","0.1","-103.572328397316","-96.9280049239269"
"ID22","58513454b9f14b000151795f","0.01","0.99","0.57","1e-06","0.999999","0.1","-73.5717068568855","-63.8636674310718"
"ID23","5870336cdb3e720001e230cd","0.01","0.99","0.43","0.3","0.999999","0.1","-55.9845740225301","-49.3402505491415"
"ID24","587291591c35f20001955c45","0.01","0.99","0.01","0.3","0.999999","0.1","-88.5590745678034","-81.5938379410754"
"ID25","587388b9db3e720001e2320e","0.01","0.99","0.99","0.3","0.985713428571429","0.1","-65.7002324344613","-59.6902644784402"
"ID26","587620554254cb0001c15a23","0.01","0.99","0.57","0.3","0.999999","0.1","-91.6446738030615","-85.0003503296729"
"ID27","5883d68d300c0b000113db56","0.01","0.99","0.43","0.3","0.9","0.1","-34.6562460168333","-29.1526791383731"
"ID28","58c3c197da66280001b3c6e8","0.01","0.99","0.43","0.3","0.999999","0.1","-54.4232619542783","-47.7789384808897"
"ID29","58cef97d5e07b6000139fa16","0.01","0.99","0.57","0.3","0.999999","0.1","-83.6658528685269","-77.0215293951382"
"ID30","58f364d67b2e410001c2ed1d","0.01","0.99","0.01","1e-06","0.999999","0.0285721428571429","-21.6104297624089","-11.6677661596214"
"ID31","58f89d1cedf274000143eb4e","0.01","0.99","0.71","1e-06","0.999999","0.1","-35.5657163019727","-25.840249308509"
"ID32","58fa6e1bd0055c0001dd838a","0.01","0.99","0.01","1e-06","0.999999","0.1","-63.8732803684892","-53.8443277893362"
"ID33","590f202eea0e130001039e1f","0.01","0.99","0.43","0.3","0.999999","0.1","-51.9191264190585","-45.2748029456698"
"ID34","593ead9ea514380001e5cf86","0.01","0.99","0.43","0.3","0.999999","0.0857144285714286","-42.3405338864697","-35.7192119538234"
"ID35","595339f4ad2ce90001b88266","0.01","0.99","0.01","1e-06","0.999999","0.1","-46.3889952677604","-36.3600426886073"
"ID36","5953d37b3d663c00011d233c","0.01","0.99","0.57","0.3","0.999999","0.1","-76.3725433540243","-69.7282198806356"
"ID37","598ab1ed19432500016fafa1","0.01","0.99","0.57","0.3","0.999999","0.1","-108.909260103054","-102.264936629665"
"ID38","5991c4a8e339120001fb8c7e","0.01","0.99","0.43","0.3","0.999999","0.1","-54.1377438464565","-47.4934203730679"
"ID39","5995ed90d1732a00013425c5","0.01","0.99","0.43","0.3","0.999999","0.1","-90.7641571163398","-84.1198336429511"
"ID40","599614af004c4f0001cc8642","0.01","0.99","0.01","1e-06","0.999999","0.1","-94.8062079174638","-84.7772553383108"
"ID41","59c80c180aaf750001213cbf","0.01","0.99","0.43","0.3","0.9","0.1","-51.3172685677096","-45.8137016892494"
"ID42","59d38d62323bd80001e200bc","0.01","0.99","0.43","0.3","0.999999","0.1","-87.8276137172802","-81.1832902438915"
"ID43","59d4b084115096000190dbce","0.01","0.99","0.43","0.3","0.999999","0.1","-46.0678756870954","-39.4235522137067"
"ID44","59e5fd82e75b450001a691ec","0.01","0.99","0.43","0.3","0.999999","0.0285721428571429","-30.7247499916327","-24.1667154946096"
"ID45","59e8cb08bab73300016bd7f7","0.01","0.99","0.57","0.3","0.999999","0.1","-56.4605236788677","-49.8162002054791"
"ID46","59e9d2c6c0d35a0001295448","0.01","0.99","0.99","1e-06","0.999999","0.1","-34.299461426285","-24.270508847132"
"ID47","5a3996f6ae52e600010a0192","0.01","0.99","0.43","0.3","0.999999","0.1","-86.3429663364027","-79.698642863014"
"ID48","5a3a570307245d0001fc0692","0.01","0.99","0.57","0.3","0.999999","0.1","-62.5948049118858","-55.9504814384972"
"ID49","5a3c0b842f91ec0001dc9bb4","0.01","0.99","0.57","0.3","0.999999","0.1","-73.4803776207628","-66.8360541473741"
"ID50","5a4e26a8f4c9dc0001b7a1b5","0.01","0.99","0.57","0.3","0.999999","0.1","-59.7702834993472","-53.1259600259585"
"ID51","5a5a3ec6ac5624000153e0f7","0.01","0.99","0.57","0.3","0.999999","0.1","-68.2719022109924","-61.6275787376038"
"ID52","5a5d1194acc75b00017a7b8f","0.01","0.99","0.43","0.3","0.999999","0.1","-76.1959030761475","-69.5515796027589"
"ID53","5a69d77a56585a0001633482","0.01","0.99","0.43","0.3","0.999999","0.1","-70.315903388078","-63.6715799146894"
"ID54","5a6f7604ff6f2300013edcd8","0.01","0.99","0.43","0.3","0.999999","0.1","-70.4458116586696","-63.8014881852809"
"ID55","5a8b513317ef35000170b86f","0.01","0.99","0.57","0.3","0.999999","0.1","-51.0466985338737","-44.4023750604851"
"ID56","5a8c78b0ae9a0b0001aa27fd","0.01","0.99","0.57","0.3","0.999999","0.1","-65.9427835193604","-59.2984600459717"
"ID57","5a90460d1eda41000135f918","0.01","0.99","0.01","1e-06","0.999999","0.1","-91.9753424221858","-81.9463898430328"
"ID58","5a94a3344eecca0001dd3c52","0.01","0.99","0.01","1e-06","0.999999","0.1","-31.7730767209887","-21.7441241418357"
"ID59","5a9d68a3dbdb470001eefb79","0.01","0.99","0.43","0.3","0.999999","0.1","-70.8215214953692","-64.1771980219805"
"ID60","5aa696af6219a30001c75d2a","0.01","0.99","0.57","0.3","0.999999","0.0428577142857143","-33.1114748501955","-26.5448238776191"
"ID61","5aa9528235237b0001132675","0.01","0.99","0.43","0.3","0.999999","0.1","-79.316934730284","-72.6726112568954"
"ID62","5ab3bc131204f90001c965bd","0.01","0.99","0.99","1e-06","0.999999","1e-06","-16.4583037969082","-6.05915600003844"
"ID63","5ab4e55cf69e940001d8d3bf","0.01","0.99","0.57","0.3","0.999999","0.1","-49.9948917168382","-43.3505682434496"
"ID64","5ab5509cf69e940001d8d954","0.01","0.99","0.43","0.3","0.999999","0.1","-66.085259163104","-59.4409356897154"
"ID65","5ac3b825e734400001da2436","0.01","0.99","0.15","1e-06","0.999999","0.1","-40.8530299386538","-31.0796355202466"
"ID66","5ad3bfc75b53cb0001f35839","0.01","0.99","0.57","0.3","0.999999","0.1","-61.9315514977432","-55.2872280243546"
"ID67","5ad658e2a38d7b00013afe89","0.01","0.99","0.43","0.3","0.999999","0.1","-105.809173502205","-99.1648500288159"
"ID68","5adf629ddee8590001b05f7b","0.01","0.99","0.01","1e-06","0.999999","0.1","-92.5888949113575","-82.5599423322045"
"ID69","5ae1a263066c510001d48146","0.01","0.99","0.57","0.3","0.999999","0.1","-65.0677009944977","-58.4233775211091"
"ID70","5ae59bec7edeb000014a828c","0.01","0.99","0.43","0.3","0.999999","0.0285721428571429","-25.5759939742723","-19.0179594772492"
"ID71","5ae9f13b9b283d00017ee04d","0.01","0.99","0.57","0.3","0.999999","0.1","-91.826599561044","-85.1822760876554"
"ID72","5af344dfdf9933000161f47a","0.01","0.99","0.43","0.3","0.999999","0.1","-93.4829247253625","-86.8386012519738"
"ID73","5afc2d1f2406810001d625c0","0.01","0.99","0.01","1e-06","0.999999","0.1","-40.0636232426974","-30.0346706635444"
"ID74","5b1d5e16503f020001e684aa","0.01","0.99","0.43","0.3","0.999999","0.1","-82.512102595412","-75.8677791220233"
"ID75","5b1ed2783522660001b464eb","0.01","0.99","0.57","0.3","0.999999","0.1","-91.1869465501275","-84.5426230767389"
"ID76","5b1fe253b803da0001dfbc8d","0.01","0.99","0.43","1e-06","0.999999","0.0571432857142857","-24.2605074891445","-14.6152007930568"
"ID77","5b35bd1d532e3d00018e8b27","0.01","0.99","0.57","0.3","0.999999","0.1","-49.4167975925406","-42.772474119152"
"ID78","5b491b4eac6f5a0001549493","0.01","0.99","0.57","0.3","0.999999","0.1","-50.8472419948405","-44.2029185214518"
"ID79","5b49d3a519f8e70001b7df02","0.01","0.99","0.99","0.3","0.985713428571429","0.1","-46.9646776399217","-40.9547096839006"
"ID80","5b5d4bfc4e945800017db533","0.01","0.99","0.57","0.3","0.999999","0.1","-62.847209793864","-56.2028863204753"
"ID81","5b5dfd9c4e945800017dcd79","0.01","0.99","0.57","0.3","0.999999","0.1","-50.8937150845392","-44.2493916111505"
"ID82","5b630cec6abdd90001d98c3f","0.01","0.99","0.43","0.3","0.999999","0.1","-75.2966012251212","-68.6522777517325"
"ID83","5b707d214415ce0001b1fd78","0.01","0.99","0.01","1e-06","0.999999","0.1","-41.4856925231313","-31.4567399439783"
"ID84","5b72d8042aeef10001972da0","0.01","0.99","0.57","1e-06","0.999999","0.0285721428571429","-21.0886590677497","-11.4669086183015"
"ID85","5b8fe19ae3a406000131f1a6","0.01","0.99","0.43","0.3","0.9","0.1","-51.3223273023434","-45.8187604238832"
"ID86","5b97a1e083bd380001b92485","0.01","0.99","0.57","0.3","0.999999","0.0714288571428571","-34.3793727407852","-27.779167715398"
"ID87","5b9e1e607b196f000195b599","0.01","0.99","0.43","0.3","0.999999","0.1","-39.6811191929148","-33.0367957195262"
"ID88","5bb756696322c5000159756c","0.01","0.99","0.57","0.3","0.999999","0.1","-69.8287675985807","-63.1844441251921"
"ID89","5bbe3c5cee6586000142be43","0.01","0.99","0.57","0.3","0.999999","0.1","-40.5430543326701","-33.8987308592815"
"ID90","5bc08c345e8a950001892156","0.01","0.99","0.57","0.3","0.999999","0.1","-53.4863031741089","-46.8419797007202"
"ID91","5bc642c0069008000139d18b","0.01","0.99","0.43","0.3","0.999999","0.1","-43.8126607973225","-37.1683373239339"
"ID92","5bdc3c8182698d0001f076c3","0.01","0.99","0.57","0.3","0.999999","0.0285721428571429","-32.0660148349495","-25.5079803379264"
