"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID","54240de1fdf99b691fb383a8",0.328425277051933,0.0836274957574777,0.472246297919703,0.165496635484341,9.46702221039929,0.0829639484213728,NA,NA,NA,NA,NA,NA,-71.1523780815209,0,3,"Fair"
"ID1","54b60d74fdf99b1ce0367ab5",0.382530269127704,0.211197386945374,0.534171331931172,0.284531535287921,1.08783222468924,0.979585506676508,NA,NA,NA,NA,NA,NA,-41.5114754935043,17,3,"Fair"
"ID2","55780ee6fdf99b4cbc0aef95",0.380939466896552,0.552115806528113,0.996939279867192,0.298800258116946,0.623311895865052,0.952698357997615,NA,NA,NA,NA,NA,NA,-30.6583101158338,20,3,"Unfair"
"ID3","559cdad9fdf99b66f54b7794",0.999999719265504,11.1340479134508,0.998243980137265,0.633036422391291,11.2355229494313,0.0899488268469004,NA,NA,NA,NA,NA,NA,-71.3591780487987,15,7,"Unfair"
"ID4","55a77810fdf99b444b9d255c",0.565574820751159,0.797016199207512,0.598252916479292,0.689417538518012,0.33234701459693,0.00795914210354097,NA,NA,NA,NA,NA,NA,-44.4089363247748,1,3,"Fair"
"ID5","55b95e2ffdf99b469f622883",0.582911313658047,0.117298361590103,0.999367332755364,2.52207747741367,3.0731447481888,0.0429413526365548,NA,NA,NA,NA,NA,NA,-50.5251938719529,0,5,"Unfair"
"ID6","55d6d91d69dbc30005b66ffe",0.071529115127173,0.0645420531821286,0.867385486160763,2.62287814331154,4.90870565908794,0.0280737525501567,NA,NA,NA,NA,NA,NA,-44.0133106206621,1,6,"Fair"
"ID7","56051814e372c00011bd556a",0.844349400492354,4.34411288625024,0.804801125867965,0.174843497757602,2.27792077364476,0.084461208200378,NA,NA,NA,NA,NA,NA,-59.5603171778754,1,4,"Fair"
"ID8","560aef7d01c38a00127693d3",0.495187573636967,0.0408131582761171,0.487928899513146,0.0445247882574788,0.380518537620242,0.397173741575228,NA,NA,NA,NA,NA,NA,-0.413812121101468,5,1,"Unfair"
"ID9","5687d434369319000c269c03",0.117456812044208,0.987931916663812,0.609309146490597,0.203613623161446,1.02215294877371,0.537794161424077,NA,NA,NA,NA,NA,NA,-56.9846705396797,4,4,"Unfair"
"ID10","56c81007ba8e37000d7b211e",0.00911872396659274,3.36616355077064,0.763381402950435,0.115661632504145,0.612706301605442,0.99830846325429,NA,NA,NA,NA,NA,NA,-33.5948654898132,1,6,"Unfair"
"ID11","56f699e876348f000c883bba",0.454433256953519,0.00965593849932089,0.99968042187528,3.27252049048182,6.89245863979776,0.638141130413641,NA,NA,NA,NA,NA,NA,-49.3127645738384,12,5,"Unfair"
"ID12","571de7af13b1b70009be2f26",0.427451478141791,0.123120489993745,0.979838461489265,2.35895763454892,3.30570135850839,0.257014530815202,NA,NA,NA,NA,NA,NA,-56.2865790140795,0,4,"Fair"
"ID13","5744bbe15e549100063b08cb",0.130727518527022,1.33832902806302,0.0366556863801928,2.37826084592173,2.47982592759398,0.00177400865034261,NA,NA,NA,NA,NA,NA,-75.4077279200019,2,3,"Fair"
