"","ID","pHI0","uHI0","pSI0","uSI0","upi","etaHI","etaSI","ll","Persec","ICARTot","Order"
"ID","54240de1fdf99b691fb383a8",0.322011637575263,0.0780864902380603,0.489091124299257,0.192279051662295,12.5126643463396,0.494715838611586,0.877509067528443,-70.9964986751019,0,3,"Fair"
"ID1","54b60d74fdf99b1ce0367ab5",0.376237334856977,0.131508083556586,0.545535821227178,0.198742721147012,1.68850387445813,0.155981553206886,0.866729985675369,-43.1313773594459,17,3,"Fair"
"ID2","55780ee6fdf99b4cbc0aef95",0.119976178271897,2.27349070517437,0.993184651576529,0.197940946148788,3.69912833525224,0.746970698099503,0.545613878791949,-39.7774748815548,20,3,"Unfair"
"ID3","559cdad9fdf99b66f54b7794",0.997820455052117,3.45608020515807,0.999381087502972,0.952634743244073,6.16016821266965,0.589077885735442,0.558233294498299,-71.4196660273931,15,7,"Unfair"
"ID4","55a77810fdf99b444b9d255c",0.524690658952088,3.30237626552278,0.554581572321156,3.65666376825071,0.0506121904215261,0.589900870846454,0.745837729099818,-38.5018535887895,1,3,"Fair"
"ID5","55b95e2ffdf99b469f622883",0.581629294829658,0.113034673534126,0.996081985997079,1.78905531958283,2.65603671716706,0.884061042487558,0.0442105299291336,-51.2444749371964,0,5,"Unfair"
"ID6","55d6d91d69dbc30005b66ffe",5.04899421184457e-05,2.51998612233072,0.617947033517521,1.95990621999791,4.23009973804424,0.492864230175024,0.154387957450155,-51.7088735677961,1,6,"Fair"
"ID7","56051814e372c00011bd556a",0.752559795182718,3.88044158730185,0.82045842823442,0.118991181017075,3.55084935281002,0.0435629934942286,0.133916592841637,-60.7180716669971,1,4,"Fair"
"ID8","560aef7d01c38a00127693d3",0.465744099171269,0.00430098405633847,0.479936204764021,0.0190838065713153,3.04909794120362,0.238021916654156,0.621128361848011,-1.79239924256736,5,1,"Unfair"
"ID9","5687d434369319000c269c03",0.270594232073739,0.220997795936727,0.624978478686261,0.180921474579712,1.27025217500065,0.871253230422513,0.329114253307238,-45.7804707307234,4,4,"Unfair"
"ID10","56c81007ba8e37000d7b211e",0.208421286525006,0.104599542798294,0.163561809781279,3.37207058092378,1.39410747615343,0.0371647642367761,0.998843641691273,-34.5464134337293,1,6,"Unfair"
"ID11","56f699e876348f000c883bba",0.444640001625803,0.00677143831276878,0.986225032260676,1.47791430192161,5.63543211296702,0.170010551965279,0.341936998814902,-50.813944790821,12,5,"Unfair"
"ID12","571de7af13b1b70009be2f26",0.4217087453083,0.129350405447836,0.909892116000033,1.50421985173889,3.05505591398087,0.298580114718121,0.55415843436679,-56.8809116336374,0,4,"Fair"
"ID13","5744bbe15e549100063b08cb",0.0797317683388749,1.48311336304459,0.0340795893448184,2.14514907196745,1.67950901903592,0.588118359859287,0.521897381191312,-69.7558382121929,2,3,"Fair"
"ID14","57611238eaf3f80007481e8e",0.518113084447273,0.141525930014652,0.626943438437732,0.0964692650665516,2.01003564497326,0.931816687450582,0.814994920689409,-54.2954370935627,3,2,"Fair"
"ID15","5778eeb20e49300001ba9ec0",0.968971276482562,2.21707637490033,0.999825837995184,4.60100347046,6.8278364181189,0.0586650339911678,0.867920349988475,-82.8478653499323,0,4,"Unfair"
"ID16","577a6900f8f7ed00014b537b",0.336119278220832,1.37940089834705,0.985103907164708,0.164881591545893,0.21995152463572,0.619983681539136,0.334166727116097,-83.499129293764,0,4,"Fair"
"ID17","5784d25070c76a00012427e0",0.000100239081061941,3.086532926176,0.186369278148551,0.965405259269558,1.69307729267267,0.0759662531257201,0.0234449271778751,-80.5832565664792,0,9,"Fair"
"ID18","579fb6f46475d400015ab855",0.994142081772428,2.28078429185829,0.999934988426261,1.34608015055808,2.79316443475141,0.779923557573799,0.885524373261895,-76.5457681496351,15,5,"Unfair"
"ID19","57f8a3ece480f5000136f588",0.00376050477622909,0.430818916132234,0.779070168260853,5.22363079154913,5.80583457750904,0.420564714793838,0.0879173390229431,-50.874789612079,0,5,"Fair"
"ID20","5808ec7ff0740c0001789a1b",0.82434375473856,1.75128059219507,0.592934641966307,0.433941909715363,2.72419812985456,0.329351270353681,0.712541525475122,-73.3336868114646,0,8,"Unfair"
"ID21","584726b8f063d30001161e6a",0.0391018080995427,0.225802708462309,0.509136340408034,1.97599654142588,10.0957984337741,0.650680942931226,0.0365251636568101,-66.0320573502077,1,8,"Fair"
"ID22","58513454b9f14b000151795f",7.70051850286085e-05,7.47808893205919,0.96161857913176,1.09359263980258,4.0674918136123,0.868913524583802,0.592795310296885,-63.5130254894786,7,4,"Fair"
"ID23","5870336cdb3e720001e230cd",0.264867181906399,0.495026201842005,0.877698423654145,4.28899690804292,2.2421193533795,0.860200939088869,0.804954319064393,-64.3351530498409,0,6,"Unfair"
"ID24","587291591c35f20001955c45",0.000217092490103328,4.55546489867928,0.0779613274624176,0.314017310650857,4.42180879327464,0.426438017765038,0.586861602222484,-97.7917424205152,0,5,"Fair"
"ID25","587388b9db3e720001e2320e",0.907356165835419,1.26454430419763,0.999911602344138,1.42797227519257,4.27815995858217,0.151223266876179,0.00178742906576124,-76.6785194133842,6,5,"Fair"
"ID26","587620554254cb0001c15a23",0.158670708018286,7.33562617585533,0.723227549171952,0.566290276249686,0.662143654060559,0.0666385685269827,0.155903551836073,-54.0352062993445,5,2,"Fair"
"ID27","5883d68d300c0b000113db56",0.903545284998956,5.38339979892615,0.909213462278873,0.182200999403117,7.74218431269867,0.18836995801107,0.137042642948637,-73.1775333905067,0,1,"Fair"
"ID28","58c3c197da66280001b3c6e8",0.456052619448994,0.305214240905901,0.761414476558608,1.82701336660761,6.48112687200853,0.756589241379577,0.248181237838886,-78.8132846997293,0,4,"Unfair"
"ID29","58cef97d5e07b6000139fa16",0.474788824380403,0.0119797611928699,0.994458668312911,2.54333543126156,2.4772230351875,0.385706034785257,0.00524589631485448,-31.1247742859547,3,9,"Unfair"
"ID30","58f364d67b2e410001c2ed1d",0.235550930053765,0.0237442927666777,0.954019231330832,1.73622305770561,2.49698582218854,0.681709903809127,0.302489739823001,-39.3144835533928,0,8,"Fair"
"ID31","58f89d1cedf274000143eb4e",0.984864098700074,3.30883240405533,0.954413700770679,1.54152478233738,5.20275337427644,0.0600411308711767,0.0968330297082269,-73.8855145617978,3,6,"Fair"
"ID32","58fa6e1bd0055c0001dd838a",0.412453704718946,0.579827666552709,0.719182713525145,0.199764459565752,2.7275799106567,0.297191751738948,0.890484048613169,-63.3147325089078,0,4,"Fair"
"ID33","590f202eea0e130001039e1f",0.987341095443012,4.03836574318102,0.996971906381319,3.30949696912462,4.06283104418044,0.674731959762479,0.456002153826057,-75.7392905901403,6,3,"Unfair"
"ID34","593ead9ea514380001e5cf86",0.994890308562994,0.687395632224272,0.973420731615776,0.307428265531646,2.88712218747387,0.578175419777066,0.160868395201098,-79.1931681291525,2,4,"Unfair"
"ID35","595339f4ad2ce90001b88266",0.436020033968399,0.045691920243996,0.986339278486053,2.7628689169082,4.45353315095967,0.0749500237766641,0.301362181236672,-55.6326424427491,0,4,"Unfair"
"ID36","5953d37b3d663c00011d233c",0.655990910105573,6.63849698426272,0.987887320169544,1.98157220106071,7.55919141104219,0.418604052397803,0.0303253463531511,-78.4451567113191,0,4,"Fair"
