"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"reset","54240de1fdf99b691fb383a8",0.001,0.999,0.396950374732211,0.442518661403378,0.999999780519341,0.00150873785171894,-15.7167266650563,-15.4086073262206,0
"reset1","54b60d74fdf99b1ce0367ab5",0.001,0.999,0.599872435790733,0.499964094283712,0.999999853137953,0.0925145084272871,-29.1154003094143,-28.7901463810943,17
"reset2","55780ee6fdf99b4cbc0aef95",0.001,0.999,0.513601257299272,0.499408077903707,0.313385470114315,0.391808314598327,-47.3610062612386,-47.7513011966115,20
"reset3","559cdad9fdf99b66f54b7794",0.001,0.999,0.499631109486197,0.499902979143758,0.362829383401037,0.19750316712545,-30.4030382364303,-31.3069466120381,15
"reset4","55a77810fdf99b444b9d255c",0.001,0.999,0.49996107544166,0.500005900145083,0.499089265893319,0.506269194230941,-54.5651605944647,-54.5767709385159,1
"reset5","55b95e2ffdf99b469f622883",0.001,0.999,0.371557713593281,0.207211977981099,0.999953086008223,0.48125245276387,-57.6295026057693,-56.7650609184514,0
"reset6","55d6d91d69dbc30005b66ffe",0.001,0.999,0.476674157874155,0.499834017409405,0.999933969502802,0.458332590761927,-57.8149043951408,-57.1780973308828,1
"reset7","56051814e372c00011bd556a",0.001,0.999,0.495222413213435,0.504671269561404,0.999999824272277,0.00151089833816683,-15.5333434880774,-15.210694371338,1
"reset8","560aef7d01c38a00127693d3",0.001,0.999,0.248403286780967,0.205315612490136,0.99997225822337,0.466024111850473,-56.6825163581768,-55.7962805343131,5
"reset9","5687d434369319000c269c03",0.001,0.999,0.438420119487996,0.489668915473082,0.999996413318772,0.209644494129368,-39.597336524853,-39.3654901818165,4
"reset10","56c81007ba8e37000d7b211e",0.001,0.999,0.199206265577375,2.30173619536824e-07,0.99999745278588,0.399039407606958,-55.3939629383294,-51.1080405920875,1
"reset11","56f699e876348f000c883bba",0.001,0.999,0.389708681121443,0.973746384896967,0.999963128761151,0.31229407940462,-46.3356287745538,-45.5120209168719,12
"reset12","571de7af13b1b70009be2f26",0.001,0.999,0.351491223244366,0.346089257654448,0.999996540347541,0.488525556867287,-57.9113616303722,-56.8371095685443,0
"reset13","5744bbe15e549100063b08cb",0.001,0.999,0.342781346132502,0.497754081288419,0.999991331600102,0.147529860084616,-39.4686559522824,-39.4462330520972,2
"reset14","57611238eaf3f80007481e8e",0.001,0.999,0.844185676601129,0.370350972270271,0.999989487323225,0.37399815277961,-56.7781604319092,-56.1482048633535,3
"reset15","5778eeb20e49300001ba9ec0",0.001,0.999,0.444489216734744,0.513609366216493,0.999990790696549,0.502684043303254,-59.4316735170655,-58.4347106839742,0
"reset16","577a6900f8f7ed00014b537b",0.001,0.999,3.32278179305867e-06,0.00938964353633995,0.999999949417703,0.174232911041724,-40.3240175910267,-37.7982224052528,0
"reset17","5784d25070c76a00012427e0",0.001,0.999,0.39116881603433,0.503032115545602,0.999999809541551,0.168480062560579,-40.8740821511506,-40.4335301504633,0
"reset18","579fb6f46475d400015ab855",0.001,0.999,2.03022626432876e-05,0.023229811873164,0.999993357620308,0.223096128213034,-45.8729562328649,-44.1322719221447,15
"reset19","57f8a3ece480f5000136f588",0.001,0.999,0.483681470793959,0.502651374571879,0.999999226712942,0.181336015355519,-37.9563958069016,-37.6340072511764,0
"reset20","5808ec7ff0740c0001789a1b",0.001,0.999,0.454950243871159,0.47065989866723,0.999999657609176,0.22040997569455,-42.1825780191118,-41.6915469810401,0
"reset21","584726b8f063d30001161e6a",0.001,0.999,0.505313924252927,0.343106178212081,0.999966722015282,0.687128278159393,-66.2202062426195,-64.4391449642002,1
"reset22","58513454b9f14b000151795f",0.001,0.999,0.760229923041428,0.382703513430642,0.999910716780276,0.389745386303139,-52.6994931467691,-52.2717102241976,7
"reset23","5870336cdb3e720001e230cd",0.001,0.999,0.438242471891139,0.500004113731173,0.999998765073898,0.260030893674035,-46.2952396393867,-45.8391840199369,0
"reset24","587291591c35f20001955c45",0.001,0.999,0.240803843188144,0.492444637079887,0.999965139425553,0.564327272110842,-61.8840557888959,-60.7380076264124,0
"reset25","587388b9db3e720001e2320e",0.001,0.999,0.500874639762246,0.499701994420038,0.36050770644061,0.389375334810681,-46.9634699884767,-47.3682106668636,6
"reset26","587620554254cb0001c15a23",0.001,0.999,0.207515445428949,0.176087242811987,0.999882060807117,0.591690346253122,-63.111022178364,-61.8161543990426,5
"reset27","5883d68d300c0b000113db56",0.001,0.999,0.764765130391632,0.536586981692068,0.0107179487363506,0.0828863119516225,-20.7434167868831,-21.5217872931471,0
"reset28","58c3c197da66280001b3c6e8",0.001,0.999,0.530756871463724,0.470868924869144,0.99997401152305,0.266929961068724,-43.2430984701962,-43.0750560407132,0
"reset29","58cef97d5e07b6000139fa16",0.001,0.999,0.399744791514199,0.305679867105285,0.999953643287555,0.523414428717956,-61.7290210194466,-60.7690484890535,3
"reset30","58f364d67b2e410001c2ed1d",0.001,0.999,0.0142538607971385,2.20288241943461e-06,0.999999414942771,0.0563266893575771,-18.2792278783996,-14.9499651449238,0
