"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID","54240de1fdf99b691fb383a8",0.67373730919804,1.59098301447567,0.550177416361324,0.512187753424639,3.30041576426497,1.00028733213575,0.998168938149738,0.0373371620575412,NA,NA,NA,NA,-70.6180279100917,0,3,"Fair"
"ID1","54b60d74fdf99b1ce0367ab5",0.418845809029997,1.23483878016788,0.470986017058606,7.4193868926923,0.185307552665625,-1.42714353091778,0.0215414807546133,0.65560870466412,NA,NA,NA,NA,-35.1578567373976,17,3,"Fair"
"ID2","55780ee6fdf99b4cbc0aef95",0.277351680101211,2.84253504713391,0.96995627200872,1.04899409344574,0.427670242069179,2.22052145543198,0.738039765057074,0.054672027162372,NA,NA,NA,NA,-22.7025289316011,20,3,"Unfair"
"ID3","559cdad9fdf99b66f54b7794",0.99958441442153,4.12834882633426,0.991767130903731,1.33184419188901,2.42863774862799,4.88982177350096,0.341029819760386,0.234419571200392,NA,NA,NA,NA,-63.0285076808748,15,7,"Unfair"
"ID4","55a77810fdf99b444b9d255c",0.547138441047465,0.432346488317408,0.00640910057049917,6.29972651337226,0.352569117679859,-3.90750343846427,0.594066996365436,1.38099715405,NA,NA,NA,NA,-44.7953863731726,1,3,"Fair"
"ID5","55b95e2ffdf99b469f622883",0.584395333295009,0.351551160071213,0.988587672683587,3.82967552936792,0.966333899322921,-0.404292770612544,0.0383147302286114,0.557118891996659,NA,NA,NA,NA,-49.2678116493922,0,5,"Unfair"
"ID6","55d6d91d69dbc30005b66ffe",0.0562144237575888,0.127204290380157,0.469072003640733,2.36604541075478,1.50348641280534,-0.835599844938371,0.921936937430041,0.390620934888651,NA,NA,NA,NA,-37.3648901645415,1,6,"Fair"
"ID7","56051814e372c00011bd556a",0.167007198856596,6.57651446491625,0.716763429946356,0.81990697230092,0.199795988455654,-2.11952847756176,0.174742601242202,0.22505534983282,NA,NA,NA,NA,-49.1766143248099,1,4,"Fair"
"ID8","560aef7d01c38a00127693d3",0.735222195812849,0.477274069333921,0.514944397296515,0.0294810865231481,0.382256634382856,0.209875529419044,4.67175931697365,4.68906698205519,NA,NA,NA,NA,-0.42407342716321,5,1,"Unfair"
"ID9","5687d434369319000c269c03",0.228651800049544,0.0499875016640103,0.669171485080618,0.121508093034227,5.43771563643249,-0.880298813018488,1.53995629364155,0.062117959190761,NA,NA,NA,NA,-50.1970606098201,4,4,"Unfair"
