"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.453153070117165,0.77466558576489,0.348992115580032,0.845820243238134,0.926630061240971,0.901339191460092,0.101277842293106,0.48532910626429,0.19720371926472,0.511417398138259,NA,NA,37.410625778659
"ID1","54b60d74fdf99b1ce0367ab5",0.447480393187375,0.859250548486295,0.0527323175596672,0.955281643951686,0.61862140592292,0.235200972394608,0.0858413087763993,0.703752629039221,0.0837525481329537,0.626359197563939,NA,NA,48.9743878744064
"ID2","55780ee6fdf99b4cbc0aef95",0.452990547314812,0.974312311747549,0.643348510367786,0.0012956440987688,0.530734640578054,0.045962244787871,0.0739454800980716,0.217084242670642,0.629858945541179,0.0609652594726034,NA,NA,52.1857555969086
"ID3","559cdad9fdf99b66f54b7794",0.907391500258136,0.990009429792517,0.945458439991121,0.481532668247296,0.873187942339973,0.959143355480617,0.138084208125677,0.479825775174207,0.917047278234545,0.729913859055593,NA,NA,19.0286568071833
"ID4","55a77810fdf99b444b9d255c",0.735542432821714,0.774375230063703,0.307024261023797,0.400257481068812,0.738387164845023,0.761511114320559,0.0455127361275296,0.974908045235737,0.433632969448369,0.326565663095082,NA,NA,58.1718037875811
"ID5","55b95e2ffdf99b469f622883",0.650839728244883,0.936625735030085,0.223468915925698,0.479947421154289,0.09297542389834,0.884381629824475,0.099485333845383,0.463457544624441,0.633718808179722,0.509512684145011,NA,NA,36.3231536657357
"ID6","55d6d91d69dbc30005b66ffe",0.0528231146325224,0.963636274359703,0.031750387178781,0.943523564440393,0.0929576077354745,0.988296831487327,0.0408645507079679,0.765012521482311,0.850065642105329,0.579441965074374,NA,NA,69.1769341030739
"ID7","56051814e372c00011bd556a",0.786402052587946,0.849469714868195,0.986282073517386,0.130503085118931,0.992439589685068,0.96317266307206,0.0699737109662628,0.715968652903277,0.798872556915208,0.0303240409233873,NA,NA,54.5957035755951
"ID8","560aef7d01c38a00127693d3",0.541023231842873,0.618840954216518,0.0479831087864743,0.526532501134256,0.613300712578772,0.00655908209851418,0.0444289497803761,0.967786616503588,0.240616644536092,0.418478858829257,NA,NA,83.0805469063153
"ID9","5687d434369319000c269c03",0.350971321224818,0.90289589837624,0.121925922645325,0.674944223420606,0.122867531287516,0.709699849119176,0.101843701389705,0.924021277645018,0.958615196376223,0.865043942832205,NA,NA,39.2197365501102
"ID10","56c81007ba8e37000d7b211e",0.188547685823001,0.899227613694822,0.0207481206052256,0.104835484946443,0.00930838782118212,0.297966274015055,0.0321367691482621,0.696855295693812,0.459786908260035,0.117746407845353,NA,NA,74.5130556321043
"ID11","56f699e876348f000c883bba",0.469160045411225,0.964379842856846,0.00434334015234914,0.931097169954775,0.243494091643952,0.928481299613783,0.0396672670684677,0.0530207999218926,0.881195174972287,0.477421381613526,NA,NA,63.1000702307879
"ID12","571de7af13b1b70009be2f26",0.589701297486086,0.97494065533447,0.911883140161123,0.646424089106576,0.120879689831339,0.795758938750062,0.0939558577399703,0.141683187083338,0.856166878860257,0.649692295126491,NA,NA,39.2298643644916
"ID13","5744bbe15e549100063b08cb",0.657439270087805,0.64250830753547,0.98882671760801,0.968815159834484,0.78795591142018,0.854372326726949,0.135849305455121,0.453758948710288,0.913693347265618,0.231365976175233,NA,NA,29.0076064153191
"ID14","57611238eaf3f80007481e8e",0.759304349425885,0.723728564592864,0.481718979044824,0.276903945094895,0.18342801904675,0.635085754218614,0.0990962688719047,0.776681988380745,0.538994229774463,0.51375263522433,NA,NA,36.7943505919062
"ID15","5778eeb20e49300001ba9ec0",0.855280395673904,0.944745354825105,0.802368335242583,0.902228813465896,0.984437910467869,0.844794515264316,0.105651358159931,0.197878819685693,0.942899709230038,0.222020534152339,NA,NA,34.1833166723308
"ID16","577a6900f8f7ed00014b537b",0.503352677183526,0.975232028468459,0.0432028804840541,0.0603516085879697,0.548929306109748,0.608636057656652,0.340396367799635,0.418885375550159,0.903300619217514,0.763040765163134,NA,NA,-15.5523173887676
"ID17","5784d25070c76a00012427e0",0.0615490433080476,0.559145068737858,0.15781592428372,0.58635856154565,0.679010639068835,0.19210904470487,0.0755134925807997,0.969731303069036,0.88681955557651,0.118346354352789,NA,NA,54.9201979537467
"ID18","579fb6f46475d400015ab855",0.936390799037896,0.97135888934393,0.741314203176919,0.123381130912393,0.808639291629512,0.910129987573109,0.123185363939175,0.128484039568758,0.13665381738094,0.626828737989857,NA,NA,27.4047834216747
"ID19","57f8a3ece480f5000136f588",0.0519641148229874,0.951276973286682,0.0836523040723293,0.894230415910733,0.60104829986896,0.948305951711682,0.108840481457483,0.0753115561988684,0.539501042420163,0.679856000017,NA,NA,34.7881111578858
"ID20","5808ec7ff0740c0001789a1b",0.86138164910512,0.86010419845653,0.791328938853943,0.704068630356597,0.81209820335192,0.135654086440556,0.177072797935861,0.0456553722220322,0.771320168380496,0.943907152389311,NA,NA,16.38499369786
"ID21","584726b8f063d30001161e6a",0.206191751821404,0.919277805676975,0.553284712921749,0.980108139172884,0.591745119859217,0.955965641053559,0.0825764868504904,0.00766825337926444,0.364298313204119,0.270680169708995,NA,NA,49.3485076401499
"ID22","58513454b9f14b000151795f",0.3875812481671,0.961498519180611,0.9124439994654,0.447690197338089,0.473084616002489,0.505517192635326,0.0820121915684139,0.00665219568544136,0.436160486350425,0.485421118534948,NA,NA,46.5720283418316
"ID23","5870336cdb3e720001e230cd",0.45168292244219,0.865858540896367,0.620126972965437,0.208502626967931,0.3667405023016,0.936019925545775,0.148177158823974,0.0591418000362381,0.981291859235558,0.101282324057587,NA,NA,18.2162220191346
"ID24","587291591c35f20001955c45",0.044623312824406,0.230084649499188,0.132013476159491,0.484165234499723,0.505983764717596,0.96612932582677,0.0277220842476811,0.25317164308148,0.867421248979904,0.641251837829622,NA,NA,90.3960628541524
"ID25","587388b9db3e720001e2320e",0.975719854249712,0.981892641865385,0.689025358450247,0.055126528208791,0.65947185592193,0.522573628789234,0.143853185413353,0.82761884994598,0.904601299388157,0.736081457899231,NA,NA,22.9100673662849
"ID26","587620554254cb0001c15a23",0.937902618479123,0.899553827038401,0.992866240728741,0.322543086288384,0.150925044556184,0.427930274025891,0.136141853661417,0.862455070601288,0.866231855306265,0.843687723217728,NA,NA,28.7924023698885
"ID27","5883d68d300c0b000113db56",0.816239077406384,0.987842760328517,0.997923478545551,0.332122283379865,0.999551643504413,0.880153693354664,0.144948034222172,0.894737888600352,0.488712343395324,0.601506579678626,NA,NA,20.9534222744726
"ID28","58c3c197da66280001b3c6e8",0.75245148132935,0.834821052162077,0.960725137508458,0.904164657171162,0.701373036510936,0.693727308043846,0.123255458621763,0.281797635819771,0.269340013902555,0.80597307947336,NA,NA,28.0497254046287
"ID29","58cef97d5e07b6000139fa16",0.508745524635807,0.982970438934742,0.0405975620943033,0.439789063198512,0.547807288600853,0.883491450282841,0.0561360459245136,0.192088243140988,0.367726218275772,0.309617990553294,NA,NA,56.4694435369276
"ID30","58f364d67b2e410001c2ed1d",0.207673263892242,0.961393750753005,0.0572658491108053,0.48851177227284,0.908325642956715,0.722875707687965,0.0786811166856198,0.47986618691115,0.945713884885335,0.642494175277128,NA,NA,51.0214980097478
"ID31","58f89d1cedf274000143eb4e",0.973577196633804,0.948355169886757,0.976175557155765,0.9668314024769,0.676547450201509,0.511587122209781,0.0974766745070165,0.673300605478213,0.339055143260965,0.615776630228446,NA,NA,33.1941784561595
"ID32","58fa6e1bd0055c0001dd838a",0.712389251790228,0.893785118452131,0.88170883248217,0.427986474213806,0.616358225283847,0.766149435445973,0.0754436232086518,0.740770395049943,0.0563291714318895,3.01874031469196e-06,NA,NA,46.7752321807936
"ID33","590f202eea0e130001039e1f",0.705229001460882,0.981991561032829,0.503603201006379,0.828676828236482,0.433264408822945,0.933081798761116,0.138829923407596,0.0945940079230703,0.839177349917188,0.999650786201062,NA,NA,25.6121579721002
"ID34","593ead9ea514380001e5cf86",0.960317131923893,0.964103939772546,0.700214449287206,0.51010233655169,0.93693126961363,0.986412297102727,0.0908160027715124,0.705195132039669,0.588407342151331,0.262116276767606,NA,NA,34.1785012578565
"ID35","595339f4ad2ce90001b88266",0.617309135376434,0.982566901124688,0.312620579072269,0.916311645455419,0.0488658085860694,0.96819720184734,0.0574427444718514,0.577594748152071,0.684142610466392,0.229171365256173,NA,NA,60.1558348393684
"ID36","5953d37b3d663c00011d233c",0.921480270392956,0.924467487638374,0.89517866664475,0.840963628664919,0.248791927445416,0.994753854964914,0.20582077444059,0.831014229003448,0.0623344617428261,0.0343844317588255,NA,NA,8.02740997687842
"ID37","598ab1ed19432500016fafa1",0.595110944291447,0.535166833076755,0.133241003467049,0.15383253005644,0.0830475719487191,0.0119834611827447,0.297412329647125,0.434959812345801,0.237722093657904,0.68647907410222,NA,NA,-4.93218172507213
"ID38","5991c4a8e339120001fb8c7e",0.99789199557831,0.997896077830334,0.934956535281214,0.802389706465739,0.249645476560513,0.129137500763712,0.0500312693730386,0.51508452862523,0.6666219371883,0.949987748221759,NA,NA,58.5837289954285
