"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.496574443202729,0.721443782579395,0.552757717174666,0.78652003348199,0.902402748155978,0.979797221596113,0.085032099059189,0.722264273644712,0.195912878317892,NA,NA,NA,37.9784185922193
"ID1","54b60d74fdf99b1ce0367ab5",0.458114351213199,0.776862935786462,0.0103017617922955,0.558365374905699,0.879769122707522,0.262878144306242,0.0673537442046383,0.516142053519424,0.141236813074252,NA,NA,NA,47.1141378420267
"ID2","55780ee6fdf99b4cbc0aef95",0.411622009749273,0.958723485706823,0.545440810421753,0.0202081033048063,0.627813965911528,0.136275584643344,0.0737870800641399,0.0317296060057262,0.36593413999929,NA,NA,NA,52.3193080261346
"ID3","559cdad9fdf99b66f54b7794",0.916372326746069,0.94426087885485,0.967663523432277,0.288735668119913,0.909743444356601,0.824925950644631,0.159646622917997,0.839353887530635,0.583694161767768,NA,NA,NA,19.4162825827518
"ID4","55a77810fdf99b444b9d255c",0.759764201954456,0.734299780932803,0.438195401314292,0.362923982897792,0.763271944803074,0.918865544830099,0.0519093745473989,0.787277370154244,0.755542522728063,NA,NA,NA,63.5465655842058
"ID5","55b95e2ffdf99b469f622883",0.675325427177129,0.962542548887241,0.233308775686491,0.55377129840484,0.275475682754404,0.889813271900996,0.109317027599547,0.959283153009106,0.604713079912935,NA,NA,NA,36.1122854727067
"ID6","55d6d91d69dbc30005b66ffe",0.108839377085308,0.977319422509182,0.192537652404297,0.964865970438615,0.542412326759385,0.869081904330491,0.0416706933740494,0.908108872399904,0.982337578048149,NA,NA,NA,67.4110153763783
"ID7","56051814e372c00011bd556a",0.781206244364313,0.896037584985117,0.988475257957796,0.407235385656117,0.912253391088151,0.665850356197278,0.0670835521310008,0.935375150120131,0.700308573222199,NA,NA,NA,54.7773986528168
"ID8","560aef7d01c38a00127693d3",0.533655103418951,0.632078778455908,0.081540323940248,0.499813261169606,0.195883033483763,0.0475750624719195,0.0145246651857304,0.510816818210787,0.309217997056534,NA,NA,NA,114.359668382481
"ID9","5687d434369319000c269c03",0.328726255606684,0.815587876189361,0.126628571097134,0.491451628765534,0.796983543354852,0.890682255174222,0.0968466765968196,0.753114857708292,0.766294893624618,NA,NA,NA,39.6805054462583
"ID10","56c81007ba8e37000d7b211e",0.197039684396111,0.901322829147938,0.0543387958955388,0.0437884974919929,0.438091368595737,0.654017055618123,0.0358271845504151,0.703171753255766,0.732925556707618,NA,NA,NA,75.2069746259172
"ID11","56f699e876348f000c883bba",0.500301531737224,0.988321892787675,0.0816559769574591,0.870952214394456,0.0931116449374935,0.982676329227403,0.0422396049717093,0.816611016877495,0.00724067933063819,NA,NA,NA,58.6588974215575
"ID12","571de7af13b1b70009be2f26",0.609659010752755,0.931002336462669,0.882869670622874,0.566619804621667,0.0690059467506642,0.935871186562124,0.0953396022195442,0.0695454785758657,0.104937851529941,NA,NA,NA,40.7897617591655
"ID13","5744bbe15e549100063b08cb",0.605167619572663,0.653871521618752,0.917330248350257,0.961407385643949,0.814161097691015,0.789745542873287,0.115536694300041,0.547568833302547,0.427610675567438,NA,NA,NA,28.1022947482382
"ID14","57611238eaf3f80007481e8e",0.701182535580229,0.791763934798831,0.39814588135588,0.270531604187432,0.180792739295186,0.415838613390038,0.0888762698773309,0.715958384869711,0.731590448424665,NA,NA,NA,37.1003155431871
"ID15","5778eeb20e49300001ba9ec0",0.945486297868331,0.922103259335696,0.912679714984449,0.915752933548792,0.75444436879176,0.819895938909645,0.0968398281071673,0.832074186742639,0.393668141734834,NA,NA,NA,35.339640763773
"ID16","577a6900f8f7ed00014b537b",0.691021972860408,0.998884610496907,0.763360274026674,0.159896947741184,0.0748171993722077,0.787669557137572,0.345034911708869,0.116573722610887,0.690631664745889,NA,NA,NA,-14.5891128335314
"ID17","5784d25070c76a00012427e0",0.107094535306698,0.517823064975366,0.201212053659161,0.848992881691052,0.220844371801433,0.194053470544312,0.0665025242243723,0.231047488333348,0.333971178130815,NA,NA,NA,58.1205846819004
"ID18","579fb6f46475d400015ab855",0.993473890763391,0.935909009559827,0.85917051538639,0.051067477397673,0.842924450535422,0.625685805878228,0.11987030938076,0.468342075578186,0.886073237297075,NA,NA,NA,29.0539144730023
"ID19","57f8a3ece480f5000136f588",0.170603954306899,0.950195965966345,0.806007997616439,0.820719907327205,0.0607240162377603,0.888826279905099,0.0881216341137344,0.0323544589997114,0.968197675244827,NA,NA,NA,35.3005886078275
"ID20","5808ec7ff0740c0001789a1b",0.884129804986713,0.853824629605005,0.966899313498434,0.626724797126279,0.809411898658145,0.257515470884943,0.167648327982971,0.963598732822494,0.938019261427375,NA,NA,NA,16.5808083599259
"ID21","584726b8f063d30001161e6a",0.232364697017441,0.877927965053819,0.38556182242066,0.986596803714657,0.511767675266143,0.909504052351058,0.0865242492488162,0.498579143491122,0.0918447490054994,NA,NA,NA,43.0859830058875
"ID22","58513454b9f14b000151795f",0.400936937881939,0.950702709645947,0.998893215112165,0.368544020996389,0.57873134603611,0.360851177927318,0.0784086042026792,0.0283999829914737,0.290472575255651,NA,NA,NA,47.9763975367801
"ID23","5870336cdb3e720001e230cd",0.523691575714496,0.996813249598802,0.972646911265131,0.687156642980439,0.298092503145217,0.320224655292036,0.128243735644328,0.0271373805139976,0.746962687508138,NA,NA,NA,22.9526999793544
"ID24","587291591c35f20001955c45",0.0241422408611605,0.275241541608169,0.108966948813914,0.498058784383327,0.275203060998648,0.955613350628445,0.0372976031732199,0.325346101569268,0.88633935171371,NA,NA,NA,86.945706873555
"ID25","587388b9db3e720001e2320e",0.96012178080694,0.993060167984061,0.624647611193923,0.0826864539845624,0.594659345211722,0.679891428650893,0.157719258640071,0.961096179626254,0.466374493277709,NA,NA,NA,21.8419900537659
"ID26","587620554254cb0001c15a23",0.882642077365071,0.855451140555413,0.985025653508051,0.214214449465502,0.222120654849641,0.986413407818302,0.131752454336092,0.924084450775701,0.0871954591672439,NA,NA,NA,29.024101128488
"ID27","5883d68d300c0b000113db56",0.810771695747729,0.969182007434847,0.998072321446715,0.384324760998174,0.792487672929751,0.869772363234843,0.129502009455293,0.711809637229187,0.577523966500159,NA,NA,NA,20.6613195109462
"ID28","58c3c197da66280001b3c6e8",0.719100388426889,0.825286671800308,0.990999436672359,0.923036607385929,0.792356572434791,0.6950514355126,0.130458404221264,0.0666819889522504,0.262601511542875,NA,NA,NA,28.6880194122047
"ID29","58cef97d5e07b6000139fa16",0.564987970547901,0.98453158468958,0.152886958119618,0.595206336600173,0.0156507198240945,0.772926454366437,0.0669535231820903,0.495074619007301,0.478587495724846,NA,NA,NA,52.3491126148511
"ID30","58f364d67b2e410001c2ed1d",0.230558561525068,0.987541183921343,0.0403823750462908,0.567482820366735,0.681061924487281,0.850708637016948,0.0683091448354612,0.335877244366173,0.45219038068176,NA,NA,NA,55.9171624664146
"ID31","58f89d1cedf274000143eb4e",0.972927192271699,0.998204566513144,0.938946165877494,0.96001868435903,0.450271316697136,0.412615618647849,0.10772370673422,0.415302752841426,0.431238909559959,NA,NA,NA,35.1777672270314
"ID32","58fa6e1bd0055c0001dd838a",0.705548945863209,0.870019202489124,0.89020809042133,0.393020838098182,0.765177362073162,0.939571319621397,0.0778503792398608,0.522857125149584,0.505437287762207,NA,NA,NA,41.6563744477353
"ID33","590f202eea0e130001039e1f",0.672154097784092,0.99531838673944,0.290309367187094,0.877855212645021,0.513795956434389,0.886433999842712,0.138967539041156,0.172060269865513,0.894141069967443,NA,NA,NA,24.2125758450701
"ID34","593ead9ea514380001e5cf86",0.949327989818459,0.996320644751298,0.657892948630882,0.723877218938255,0.999006201742847,0.900613576351736,0.0828063159249071,0.47139884225685,0.0876723672900526,NA,NA,NA,36.0327320059593
"ID35","595339f4ad2ce90001b88266",0.850051495078679,0.950176470699251,0.962331570195619,0.879108292413243,0.0332089783108801,0.804451008662639,0.0662300533203154,0.502483494140591,0.112773553223762,NA,NA,NA,56.7200521840104
"ID36","5953d37b3d663c00011d233c",0.778553516600479,0.95364532100868,0.882698391991782,0.936203681662091,0.339151001316894,0.806373862913057,0.225981252813931,0.204493134011573,0.650849488952592,NA,NA,NA,5.76063510746989
"ID37","598ab1ed19432500016fafa1",0.63989325013241,0.416876929460467,0.87234248843558,0.398153499392228,0.0518489824497206,0.000435558429951799,0.285886293036705,0.0745806315358624,0.0398092711986121,NA,NA,NA,-3.69666698249585
"ID38","5991c4a8e339120001fb8c7e",0.965881907150115,0.959810196370466,0.619679634761771,0.980191169356269,0.144608184731332,0.333394745293935,0.0790333100651486,0.994313650388038,0.506532987454244,NA,NA,NA,48.9267732636676
"ID39","5995ed90d1732a00013425c5",0.709668135200945,0.736968898836,0.222764330987171,0.279902770320627,0.576868876363249,0.416388613286148,0.0827185372986996,0.0869684647868068,0.548379080728813,NA,NA,NA,43.8704575257988
"ID40","599614af004c4f0001cc8642",0.645943868761605,0.723580912357376,0.423056627659107,0.442762125810916,0.95427802945669,0.860868254904173,0.158106084806491,0.963544097199793,0.352734704584838,NA,NA,NA,17.4076560661494
"ID41","59c80c180aaf750001213cbf",0.772082350060542,0.998662488368012,0.966281232668301,0.15828529064339,0.841463902810404,0.537383874935551,0.161325606376439,0.970559800527143,0.0395285239644083,NA,NA,NA,16.3968690057145
"ID42","59d38d62323bd80001e200bc",0.253093306691994,0.753499747532614,0.355562973409788,0.969798428607936,0.0393816815313761,0.99349154501913,0.163142103025509,0.82094510179526,0.152988068848828,NA,NA,NA,16.6260175185608
"ID43","59d4b084115096000190dbce",0.988574863240447,0.939600524326783,0.941381326178515,0.818751617752105,0.873236265127377,0.991075426146431,0.0996074172020728,0.334866946430795,0.667764372191863,NA,NA,NA,36.4682576422781
"ID44","59e5fd82e75b450001a691ec",0.252562297542662,0.879402462513942,0.629521654125828,0.493506304064716,0.0212428685010729,0.651577355667437,0.0325747364848939,0.38450170426745,0.973683348095006,NA,NA,NA,64.6895604096737
"ID45","59e8cb08bab73300016bd7f7",0.637118198125503,0.980138704514728,0.974733719653772,0.0607401408931646,0.988967042177644,0.67062082311739,0.156685887212268,0.211421310125276,0.176805239927619,NA,NA,NA,10.5618749447789
"ID46","59e9d2c6c0d35a0001295448",0.450774759364212,0.70996328009963,0.381064163600071,0.297208955660555,0.0628461934185913,0.75548357925615,0.0841693332791145,0.101833294308639,0.170567602024235,NA,NA,NA,38.2542881935121
"ID47","5a3996f6ae52e600010a0192",0.964472467487462,0.911526424892804,0.929761384578746,0.484540550013063,0.338855317145818,0.95192718025646,0.241720982966499,0.940549081425426,0.59778878465703,NA,NA,NA,2.11978606620571
"ID48","5a3a570307245d0001fc0692",0.297241297080493,0.721839441061983,0.54209643885479,0.00658058756634079,0.430035353816738,0.118681245160331,0.0986831059668346,0.0297021909398031,0.97843147159486,NA,NA,NA,40.640498687548
"ID49","5a3c0b842f91ec0001dc9bb4",0.726035840631118,0.725982371216086,0.869466175640399,0.841829633971982,0.391545892813337,0.48512205587547,0.0936301269674896,0.0796927875331292,0.305466836485032,NA,NA,NA,37.2434699892938
"ID50","5a4e26a8f4c9dc0001b7a1b5",0.607618338714445,0.788669743168658,0.0156831455268291,0.193080129158137,0.235938189183494,0.862074022893621,0.164398395116808,0.0741759892887726,0.465658653374363,NA,NA,NA,18.2551120551054
"ID51","5a5a3ec6ac5624000153e0f7",0.754863001378123,0.979596064471549,0.992413171548468,0.111789816132415,0.947042084100813,0.743674544836318,0.181474655873869,0.516166048747579,0.22269769763451,NA,NA,NA,10.2217066317307
"ID52","5a5d1194acc75b00017a7b8f",0.658589178309848,0.49366313161948,0.319885752528669,0.0165098676316596,0.271089735448473,0.618106639465096,0.0597810679328955,0.293308337460448,0.470488865814921,NA,NA,NA,49.5091817186284
"ID53","5a69d77a56585a0001633482",0.735934733779357,0.739247756204464,0.937435921532394,0.987709566424072,0.961781316622035,0.883703927094568,0.244087063413943,0.394116726204759,0.807991877092825,NA,NA,NA,2.45410284053592
"ID54","5a6f7604ff6f2300013edcd8",0.93401587725056,0.988351614651856,0.539596298979209,0.310710084451965,0.148386742370165,0.720731309504969,0.079663737592506,0.778678823389151,0.778372027198817,NA,NA,NA,39.7251364981686
"ID55","5a8b513317ef35000170b86f",0.976477121706083,0.986453253351152,0.375320955402242,0.328800726298685,0.289488939231586,0.605744051605996,0.139946282437918,0.310502099889911,0.0854037099430228,NA,NA,NA,20.3617516346387
"ID56","5a8c78b0ae9a0b0001aa27fd",0.465970833401746,0.893290161009528,0.0686444093460497,0.621210392096105,0.181672041485686,0.0632153607362675,0.229199702005404,0.348221553308313,0.858181683951308,NA,NA,NA,1.58917888378033
"ID57","5a90460d1eda41000135f918",0.361626008582078,0.742720410052447,0.594291835149729,0.957727584392261,0.323979801989129,0.905852360584225,0.120110795249511,0.0808538555116338,0.200774096238372,NA,NA,NA,29.4447362652762
"ID58","5a94a3344eecca0001dd3c52",0.684627239968215,0.979768960497614,0.967482697338366,0.0572079003057466,0.962334728967594,0.520412861465014,0.222511195891499,0.126723737522429,0.112451099478275,NA,NA,NA,0.978340509003401
"ID59","5a9d68a3dbdb470001eefb79",0.966915532062255,0.987300557141454,0.0622244151804446,0.0671065802400451,0.134796707481505,0.355058314693124,0.0638568368786459,0.971617070403844,0.470623077889361,NA,NA,NA,65.7893812389294
"ID60","5aa696af6219a30001c75d2a",0.585741387656973,0.513758369615982,0.888127061351145,0.802845458480756,0.947416833543286,0.915636714170446,0.079247028306329,0.566343631735272,0.217228026122038,NA,NA,NA,42.6397741052474
"ID61","5aa9528235237b0001132675",0.602917820936084,0.604037604156998,0.442030422521417,0.64262110695395,0.3033131295869,0.0654004633605196,0.125715801053028,0.0679625141008179,0.0480066926166674,NA,NA,NA,24.0072818861838
"ID62","5ab3bc131204f90001c965bd",0.14189649320079,0.556916205145443,0.367278668719106,0.910162128040425,0.368074228062871,0.99232990771288,0.0917882131054608,0.0947373111091392,0.79244205352821,NA,NA,NA,39.7471763349414
"ID63","5ab4e55cf69e940001d8d3bf",0.430977669865925,0.413018165490291,0.897068151985146,0.619825706194002,0.370574645153913,0.339413953722898,0.210699219487866,0.195454289098334,0.208926381494854,NA,NA,NA,8.52063782878477
"ID64","5ab5509cf69e940001d8d954",0.754854435627146,0.89837110518718,0.451463653609616,0.744722076152373,0.281313488463405,0.440550116333951,0.0817156412499708,0.618982789389168,0.774217733496204,NA,NA,NA,49.27524208327
"ID65","5ac3b825e734400001da2436",0.719434518906698,0.834753828913013,0.804449545623884,0.928987960033642,0.975411392819894,0.978349736161232,0.15376650383419,0.402621403121408,0.675067321020522,NA,NA,NA,15.8565545957146
"ID66","5ad3bfc75b53cb0001f35839",0.930226496254631,0.813929464343452,0.675042169123835,0.552979183836157,0.160842827039855,0.980963290548205,0.105460905557226,0.826503869115093,0.796034085461442,NA,NA,NA,39.087026306894
"ID67","5ad658e2a38d7b00013afe89",0.231610265396418,0.978551679288438,0.354969477759879,0.657001744696329,0.0363018707309874,0.977293368331915,0.138462083844356,0.430780332980036,0.0385114351690484,NA,NA,NA,23.2153081706086
"ID68","5adf629ddee8590001b05f7b",0.741197041405181,0.967764999936711,0.983808001520861,0.757680995148869,0.981129926093753,0.886555364026541,0.196650024776706,0.316476434085318,0.517422723678555,NA,NA,NA,10.6560909745151
"ID69","5ae1a263066c510001d48146",0.623540421967212,0.615134288272696,0.883837214356219,0.93747289301061,0.615831835130275,0.616282574286755,0.0992147547857132,0.160475586545495,0.112563790296567,NA,NA,NA,34.9753303923877
"ID70","5ae59bec7edeb000014a828c",0.99360556772818,0.984089014962627,0.680007305418808,0.486891873812981,0.948148693934332,0.870375407803246,0.108365894214038,0.49679059136285,0.686131692867336,NA,NA,NA,38.9546065349335
"ID71","5ae9f13b9b283d00017ee04d",0.531985053742444,0.748488758055364,0.838778561610393,0.0748823468050105,0.0818731599155282,0.972755275042302,0.150208242143232,0.177226639874987,0.439094284676936,NA,NA,NA,17.2849340563329
"ID72","5af344dfdf9933000161f47a",0.0163823668802608,0.982408118684113,0.139218670049876,0.993581438338466,0.73290398338086,0.942316372653113,0.0771901192953791,0.843777230776241,0.456744724749535,NA,NA,NA,40.8078242566349
"ID73","5afc2d1f2406810001d625c0",0.0662101892974754,0.986612569126406,0.0551033769840051,0.916494532564524,0.917127521017986,0.925760357674326,0.0299953719946449,0.262081406257855,0.816080014871818,NA,NA,NA,84.5854648371057
