"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.475457402763248,0.744956121062448,0.545604936122998,0.775652958784222,0.883556842900182,0.939268522686639,0.0957520804759125,0.41247920566843,0.586651714406853,0.679242945682521,0.498044921028378,NA,38.2003855928413
"ID1","54b60d74fdf99b1ce0367ab5",0.582183503714707,0.791993166516355,0.341660545735641,0.626852108519792,0.0528124483100252,0.284519114126237,0.0697754326115291,0.486676147608849,0.234945339658267,0.107477165471572,0.31079841293152,NA,48.2005690726437
"ID2","55780ee6fdf99b4cbc0aef95",0.414504637722413,0.998636666064903,0.663162622545582,0.0562423525762359,0.835706742944929,0.812277292844459,0.0739778840847089,0.512848834193196,0.323133068872854,0.941978689903775,0.0978980287945796,NA,52.2285833294745
"ID3","559cdad9fdf99b66f54b7794",0.884377450684847,0.97656330668103,0.962987242341158,0.471817310047946,0.869416540975668,0.958098411291918,0.153679359043358,0.874265547522741,0.023872601703275,0.556643338953866,0.849285049534854,NA,20.9842357740342
"ID4","55a77810fdf99b444b9d255c",0.748206308592756,0.736056045513819,0.45468846989267,0.423294537787019,0.615688598361054,0.911486742241605,0.0578331728422741,0.711466277483707,0.121478053511249,0.662109348423734,0.201563957616392,NA,61.5725349671681
"ID5","55b95e2ffdf99b469f622883",0.618987489447439,0.962838286113117,0.115340404900877,0.540473474835434,0.438962315186826,0.950474945716162,0.101419610826035,0.830202271912118,0.362732611790615,0.441857799466511,0.439483788070585,NA,37.676069776663
"ID6","55d6d91d69dbc30005b66ffe",0.157493265968861,0.976390342652923,0.55107876074111,0.960993447676253,0.16402849805952,0.979167657055559,0.0379979583051226,0.111554212743189,0.489631483486028,0.327179990139407,0.78376087065975,NA,67.6494729908333
"ID7","56051814e372c00011bd556a",0.778829214163532,0.85071060077841,0.998890954912439,0.200598030638395,0.989645893427917,0.400624611870018,0.0616935753055031,0.463745161448075,0.363961969822261,0.303605194633727,0.359877133160957,NA,53.8151571048042
"ID8","560aef7d01c38a00127693d3",0.620997186800417,0.714842357485273,0.283484175904086,0.317622993907625,0.079055721837467,0.0488244551314022,0.0283472885353417,0.425726890586863,0.774330055733237,0.320156150792882,0.224289391520447,NA,90.9323035141863
"ID9","5687d434369319000c269c03",0.358211434323722,0.841736369061471,0.156310501922637,0.472679256412607,0.961052230400592,0.929690831452854,0.0776191052440708,0.128538501346805,0.285745952164327,0.625501143562643,0.534566943324558,NA,38.6253970746292
"ID10","56c81007ba8e37000d7b211e",0.191773301707492,0.925828975565368,0.107253349031989,0.316848627860535,0.600374693881158,0.0206139991414731,0.0515921471783379,0.539306823698355,0.076372414656714,0.467190444456195,0.378917515849016,NA,69.3298949562947
"ID11","56f699e876348f000c883bba",0.470865676745017,0.930107537122118,0.0727245683117678,0.797896313243645,0.0497987820101539,0.867360954149783,0.0638720017603479,0.197427651867844,0.984717456156418,0.172519669175537,0.172712620506047,NA,56.8852917943814
"ID12","571de7af13b1b70009be2f26",0.488698820403709,0.984219490546647,0.40687487773416,0.726783167442572,0.319945055796165,0.95614979879504,0.0782791610893343,0.0417129501042878,0.195817937202426,0.344529345472058,0.270863828181835,NA,40.9032940282757
"ID13","5744bbe15e549100063b08cb",0.636285119985662,0.652058915627033,0.944015840805994,0.991314516050187,0.794658951097235,0.744997862114665,0.0917669424926806,0.657234834540014,0.66648800286014,0.958334685069591,0.674217857636763,NA,27.4815010063879
"ID14","57611238eaf3f80007481e8e",0.825993215181149,0.78480732170548,0.664551885059355,0.537633999816531,0.143387778973077,0.103385057821971,0.109773206323261,0.717070081424009,0.246871993716531,0.979680594457534,0.105503817521494,NA,35.9799034213275
"ID15","5778eeb20e49300001ba9ec0",0.917063709614227,0.925166017160739,0.932870240488863,0.861810990516858,0.803668264273849,0.874813738962978,0.100909353219475,0.786510562176326,0.198305403841349,0.844255287750868,0.668626253926092,NA,34.6777226400413
"ID16","577a6900f8f7ed00014b537b",0.532094901017649,0.979028569674484,0.0284142275929416,0.115190378903657,0.82352828319919,0.0802971529025184,0.333784479447335,0.900581721203081,0.0613337122848695,0.462065541905212,0.538699928953787,NA,-15.5649813530075
"ID17","5784d25070c76a00012427e0",0.0713856573477963,0.538078950711673,0.133818813938963,0.763591400923548,0.309250271433292,0.176873739845681,0.0490112083520319,0.19782011305555,0.493390628480131,0.294916934648424,0.442654772905449,NA,63.8844588853126
"ID18","579fb6f46475d400015ab855",0.987035839378626,0.965233003829668,0.92873931571625,0.0868496017127909,0.921933798860834,0.603082621501463,0.125185633550733,0.864565970032107,0.303908601507315,0.546867816248478,0.302255066995214,NA,27.800632231829
"ID19","57f8a3ece480f5000136f588",0.0800982092949991,0.940412976705872,0.00739315912158628,0.907961595238021,0.407654280894497,0.984095969836829,0.104278377690883,0.764423873563483,0.420465330781269,0.550876213742469,0.20199535357039,NA,36.2344863450565
"ID20","5808ec7ff0740c0001789a1b",0.897080623144165,0.94223768059584,0.991926533452444,0.739167969217595,0.9172866513539,0.150440764176896,0.14601080201038,0.425214431875292,0.85249808244435,0.738897193314556,0.705291859411914,NA,18.0757555163507
"ID21","584726b8f063d30001161e6a",0.179521889421286,0.923698247009049,0.352019805304117,0.95463848743301,0.62208176563958,0.981442609374969,0.0810054740245955,0.426001866310595,0.695101880710852,0.854616644887505,0.613262166636257,NA,49.4332319494995
"ID22","58513454b9f14b000151795f",0.414119934005414,0.91843527296496,0.910545188482494,0.204470368643034,0.655653480454316,0.791939439759651,0.0907864529442144,0.378424557901713,0.946383824024031,0.494306053902242,0.0643547084427282,NA,43.7030230722463
"ID23","5870336cdb3e720001e230cd",0.498299040729676,0.971434674883851,0.88617850422549,0.633953886160852,0.242879787933089,0.923014431717248,0.146548764383679,0.0332812168261396,0.803030556863811,0.339306777927415,0.434776250546934,NA,19.6619911163649
"ID24","587291591c35f20001955c45",0.044031329323245,0.29105945398256,0.0669947789949151,0.652444227872339,0.646999565006484,0.588922697830942,0.0438777417881578,0.896663849467289,0.359147088302595,0.885512494628016,0.149451830004018,NA,70.9370131992662
"ID25","587388b9db3e720001e2320e",0.965566034628587,0.974564655094381,0.658886685929964,0.0534235211398727,0.698224610702876,0.045034866722302,0.155348784807732,0.834961812009535,0.723274492405605,0.301928784743991,0.532846050887348,NA,21.5008614456533
"ID26","587620554254cb0001c15a23",0.893601318609563,0.801325316522639,0.955278339367111,0.196094599800795,0.223826214568375,0.880547088036519,0.106456226599174,0.988059221042751,0.205994630488762,0.697709354427856,0.0973123458950018,NA,29.435608418049
